FID	BIRD_ID	YEAR	MONTH	DATE_	TIME	TYPE	LON	LAT	QUALITY	DEP	SST	CHLA	dist_col	STAGE	ID	timestamp
0	PF0136	2009	6	26/06/2009	1:36:00 AM	UNKNOWN	-23.42	33.75	0	-5459	20.84003	0.059067	663.265408	BREEDING	14	2009-06-26 01:36:00
1	PF0136	2009	6	26/06/2009	2:02:00 PM	UNKNOWN	-29.65	36.71	0	-3422	19.25045	0.084714	1295.183704	BREEDING	14	2009-06-26 14:02:00
2	PF0136	2009	6	27/06/2009	2:15:00 AM	UNKNOWN	-32.87	39.13	0	-2010	18.95934	0.183453	1652.250159	BREEDING	14	2009-06-27 02:15:00
3	PF0136	2009	6	27/06/2009	2:10:00 PM	UNKNOWN	-31.72	37.23	0	-1558	19.61396	0.126993	1487.78496	BREEDING	14	2009-06-27 14:10:00
4	PF0136	2009	6	28/06/2009	2:11:00 AM	UNKNOWN	-31.94	36	0	-2857	20.36538	0.078589	1474.003507	BREEDING	14	2009-06-28 02:11:00
5	PF0136	2009	6	28/06/2009	2:18:00 PM	UNKNOWN	-33.67	36.98	0	-1798	19.85703	0.115203	1647.883942	BREEDING	14	2009-06-28 14:18:00
6	PF0136	2009	6	29/06/2009	2:21:00 AM	UNKNOWN	-34.52	37.48	0	-3064	20.80777	0.086067	1733.785399	BREEDING	14	2009-06-29 02:21:00
7	PF0136	2009	6	29/06/2009	2:28:00 PM	UNKNOWN	-36.24	38.12	0	-3897	20.06137	0.097111	1897.242038	BREEDING	14	2009-06-29 14:28:00
8	PF0136	2009	6	30/06/2009	2:35:00 AM	UNKNOWN	-37.72	38.15	0	-3897	21.24944	0.086047	2024.129739	BREEDING	14	2009-06-30 02:35:00
9	PF0136	2009	6	30/06/2009	2:39:00 PM	UNKNOWN	-38.82	38.04	0	-3976	21.04223	0.056233	2116.120254	BREEDING	14	2009-06-30 14:39:00
10	PF0136	2009	7	01/07/2009	2:46:00 AM	UNKNOWN	-40.54	37.78	0	-5138	23.36387	0.060932	2260.309952	BREEDING	14	2009-07-01 02:46:00
11	PF0136	2009	7	01/07/2009	3:05:00 PM	UNKNOWN	-45.39	39.16	0	-4455	23.59833	0.10297	2698.759749	BREEDING	14	2009-07-01 15:05:00
12	PF0136	2009	7	02/07/2009	3:02:00 AM	UNKNOWN	-44.62	42.97	0	-4875	21.30178	0.188601	2721.002989	BREEDING	14	2009-07-02 03:02:00
13	PF0136	2009	7	02/07/2009	2:59:00 PM	UNKNOWN	-43.72	42.9	0	-4850	21.28027	0.161367	2648.621792	BREEDING	14	2009-07-02 14:59:00
14	PF0136	2009	7	03/07/2009	3:05:00 AM	UNKNOWN	-45.2	41.4	0	-4845	21.44088	0.15245	2724.644096	BREEDING	14	2009-07-03 03:05:00
15	PF0136	2009	7	03/07/2009	3:05:00 PM	UNKNOWN	-45.3	41.05	0	-4742	21.92772	0.153517	2724.905678	BREEDING	14	2009-07-03 15:05:00
16	PF0136	2009	7	04/07/2009	3:05:00 AM	UNKNOWN	-45.15	41.24	0	-4823	21.41507	0.13903	2716.858798	BREEDING	14	2009-07-04 03:05:00
17	PF0136	2009	7	04/07/2009	3:01:00 PM	UNKNOWN	-44.25	40.89	0	-4829	22.92077	0.095391	2635.050713	BREEDING	14	2009-07-04 15:01:00
18	PF0136	2009	7	05/07/2009	2:47:00 AM	UNKNOWN	-40.48	43.05	0	-4957	19.5057	0.227578	2405.389221	BREEDING	14	2009-07-05 02:47:00
19	PF0136	2009	7	05/07/2009	2:54:00 PM	UNKNOWN	-42.34	44.92	0	-4646	17.67018	-9999	2621.746352	BREEDING	14	2009-07-05 14:54:00
20	PF0136	2009	7	06/07/2009	2:38:00 AM	UNKNOWN	-38.19	48.47	0	-4526	16.21395	0.290614	2543.069622	BREEDING	14	2009-07-06 02:38:00
21	PF0136	2009	7	06/07/2009	2:26:00 PM	UNKNOWN	-35.42	48.92	0	-4064	13.5926	0.577142	2417.928691	BREEDING	14	2009-07-06 14:26:00
22	PF0136	2009	7	07/07/2009	2:22:00 AM	UNKNOWN	-34.4	48.02	0	-4674	15.16785	0.505713	2295.002955	BREEDING	14	2009-07-07 02:22:00
23	PF0136	2009	7	07/07/2009	2:19:00 PM	UNKNOWN	-33.63	48.09	0	-4085	14.94128	-9999	2258.791353	BREEDING	14	2009-07-07 14:19:00
24	PF0136	2009	7	08/07/2009	2:20:00 AM	UNKNOWN	-33.86	47.55	0	-4386	15.54571	0.555841	2229.980358	BREEDING	14	2009-07-08 02:20:00
25	PF0136	2009	7	08/07/2009	2:06:00 PM	UNKNOWN	-30.09	46.57	0	-3640	14.81723	-9999	1952.858643	BREEDING	14	2009-07-08 14:06:00
26	PF0136	2009	7	09/07/2009	1:56:00 AM	UNKNOWN	-27.7	45.87	0	-2395	16.56313	0.342393	1776.954608	BREEDING	14	2009-07-09 01:56:00
27	PF0136	2009	7	09/07/2009	2:04:00 PM	UNKNOWN	-29.55	47.16	0	-3133	14.29239	-9999	1976.816884	BREEDING	14	2009-07-09 14:04:00
28	PF0136	2009	7	10/07/2009	2:02:00 AM	UNKNOWN	-29.16	48.57	0	-3399	14.1705	-9999	2084.602899	BREEDING	14	2009-07-10 02:02:00
29	PF0136	2009	7	10/07/2009	1:39:00 PM	UNKNOWN	-23.27	47.11	0	-3499	15.61669	0.468076	1731.47381	BREEDING	14	2009-07-10 13:39:00
30	PF0136	2009	7	11/07/2009	1:36:00 AM	UNKNOWN	-22.63	43.81	0	-3931	17.22635	0.318523	1375.013192	BREEDING	14	2009-07-11 01:36:00
31	PF0136	2009	7	11/07/2009	1:35:00 PM	UNKNOWN	-22.49	44.03	0	-4582	17.51029	0.240657	1392.602611	BREEDING	14	2009-07-11 13:35:00
32	PF0136	2009	7	12/07/2009	1:25:00 AM	UNKNOWN	-19.85	45.93	0	-4817	16.53732	0.241448	1529.509867	BREEDING	14	2009-07-12 01:25:00
33	PF0136	2009	7	12/07/2009	1:14:00 PM	UNKNOWN	-17.08	45.79	0	-4755	16.75887	-9999	1487.376832	BREEDING	14	2009-07-12 13:14:00
34	PF0136	2009	7	13/07/2009	1:12:00 AM	UNKNOWN	-16.69	44.31	0	-3883	17.46225	0.312308	1322.177958	BREEDING	14	2009-07-13 01:12:00
