CONT_ID	DATEGMT	Month	Year	MAIN_tracking_Year	LON	LAT	COLONY	stage	UNIQUE_ID	timestamps
1	21/02/2010 01:14	2	2010	2010	-15.2	36.81	SEL	BREEDING	1	2010-02-21 01:14:00
2	21/02/2010 13:12	2	2010	2010	-14.59	38.98	SEL	BREEDING	1	2010-02-21 13:12:00
3	22/02/2010 01:11	2	2010	2010	-14.48	40.13	SEL	BREEDING	1	2010-02-22 01:11:00
4	22/02/2010 13:14	2	2010	2010	-15.25	38.66	SEL	BREEDING	1	2010-02-22 13:14:00
5	23/02/2010 01:10	2	2010	2010	-14.27	35.89	SEL	BREEDING	1	2010-02-23 01:10:00
6	23/02/2010 13:08	2	2010	2010	-13.53	36.53	SEL	BREEDING	1	2010-02-23 13:08:00
7	24/02/2010 01:04	2	2010	2010	-12.55	35.98	SEL	BREEDING	1	2010-02-24 01:04:00
8	24/02/2010 13:11	2	2010	2010	-14.44	29.33	SEL	BREEDING	1	2010-02-24 13:11:00
9	25/02/2010 01:16	2	2010	2010	-15.71	27.02	SEL	BREEDING	1	2010-02-25 01:16:00
10	25/02/2010 13:11	2	2010	2010	-14.61	35.49	SEL	BREEDING	1	2010-02-25 13:11:00
11	26/02/2010 01:10	2	2010	2010	-14.38	37.58	SEL	BREEDING	1	2010-02-26 01:10:00
12	26/02/2010 13:11	2	2010	2010	-14.65	38.37	SEL	BREEDING	1	2010-02-26 13:11:00
13	27/02/2010 01:15	2	2010	2010	-15.54	39.89	SEL	BREEDING	1	2010-02-27 01:15:00
14	28/02/2010 13:19	2	2010	2010	-16.61	35.07	SEL	BREEDING	1	2010-02-28 13:19:00
15	01/03/2010 01:15	3	2010	2010	-15.76	24.34	SEL	BREEDING	1	2010-03-01 01:15:00
16	01/03/2010 13:12	3	2010	2010	-15.03	25.01	SEL	BREEDING	1	2010-03-01 13:12:00
17	09/03/2010 13:06	3	2010	2010	-13.86	30	SEL	BREEDING	1	2010-03-09 13:06:00
18	10/03/2010 01:09	3	2010	2010	-14.77	34.16	SEL	BREEDING	1	2010-03-10 01:09:00
19	21/03/2010 01:09	3	2010	2010	-15.54	35.22	SEL	BREEDING	1	2010-03-21 01:09:00
20	21/03/2010 13:07	3	2010	2010	-14.95	34.98	SEL	BREEDING	1	2010-03-21 13:07:00
21	24/03/2010 01:13	3	2010	2010	-16.76	23.24	SEL	BREEDING	1	2010-03-24 01:13:00
22	01/04/2010 01:05	4	2010	2010	-15.24	30.81	SEL	BREEDING	1	2010-04-01 01:05:00
23	01/04/2010 13:02	4	2010	2010	-14.4	27.44	SEL	BREEDING	1	2010-04-01 13:02:00
24	02/04/2010 01:02	4	2010	2010	-14.56	22.02	SEL	BREEDING	1	2010-04-02 01:02:00
25	02/04/2010 12:53	4	2010	2010	-17.41735	11.5689	SEL	BREEDING	1	2010-04-02 12:53:00
26	03/04/2010 13:06	4	2010	2010	-15.67	14.2	SEL	BREEDING	1	2010-04-03 13:06:00
