CONT_ID	BIRD_ID	SEX	YEAR	MONTH	PERIOD	DATE	LON	LAT	company	SST	BAT	CHLA	Unique_ID	timestamp
1	H383	m	2013	9	breed	05/09/2013	-14.83902141	-6.827007297	migrate	24.27384851	4000	0.13432879	1	2013-09-05 00:00:00
2	H383	m	2013	9	breed	05/09/2013	-14.63108604	-2.744860403	migrate	23.75319519	4304	0.400849308	1	2013-09-05 00:00:00
3	H383	m	2013	9	breed	06/09/2013	-15.17354573	2.066183591	migrate	25.74218639	5334	0.145917319	1	2013-09-06 00:00:00
4	H383	m	2013	9	breed	06/09/2013	-14.715979	8.095521844	migrate	27.12982333	3097	NA	1	2013-09-06 00:00:00
5	H383	m	2013	10	breed	08/10/2013	-12.40694284	-10.05073093	migrate	22.46683573	2990	0.0889461	1	2013-10-08 00:00:00
6	H383	m	2013	10	breed	09/10/2013	-12.44102005	-8.161458341	migrate	23.53373838	3143	0.13633156	1	2013-10-09 00:00:00
7	H383	m	2013	10	breed	09/10/2013	-11.72448302	-14.71134056	migrate	21.73178699	2959	NA	1	2013-10-09 00:00:00
8	H383	m	2013	10	breed	10/10/2013	-11.00746477	-9.53270327	migrate	22.44970191	3294	NA	1	2013-10-10 00:00:00
9	H383	m	2013	10	breed	10/10/2013	-12.04027022	-3.509977832	migrate	24.12198653	2562	0.248450793	1	2013-10-10 00:00:00
10	H383	m	2013	10	breed	11/10/2013	-12.07238807	-1.738406664	migrate	24.53330416	2914	0.353407467	1	2013-10-11 00:00:00
11	H383	m	2013	10	breed	11/10/2013	-11.60390412	-6.885878356	migrate	23.80637189	3711	0.254024904	1	2013-10-11 00:00:00
12	H383	m	2013	10	breed	12/10/2013	-11.38494134	-5.211546429	migrate	24.08146084	2588	0.241225669	1	2013-10-12 00:00:00
13	H383	m	2013	10	breed	12/10/2013	-10.41531962	-12.85416388	migrate	22.06664273	4147	0.066417599	1	2013-10-12 00:00:00
14	H383	m	2013	10	breed	13/10/2013	-10.4453255	-11.29908171	migrate	22.23266844	4516	NA	1	2013-10-13 00:00:00
15	H383	m	2013	10	breed	13/10/2013	-11.47494034	-6.231803792	migrate	24.07015731	2186	0.261533502	1	2013-10-13 00:00:00
16	H383	m	2013	10	breed	14/10/2013	-11.50382715	-6.276644503	migrate	24.09040647	2123	0.256461891	1	2013-10-14 00:00:00
17	H383	m	2013	10	breed	14/10/2013	-10.78202512	-10.41030739	migrate	21.71279639	3536	0.098240592	1	2013-10-14 00:00:00
18	H383	m	2013	10	breed	15/10/2013	-11.05979891	-10.3709387	migrate	22.27906969	3350	NA	1	2013-10-15 00:00:00
19	H383	m	2013	10	breed	15/10/2013	-11.08694318	-9.991458889	migrate	22.41783916	3316	0.092745483	1	2013-10-15 00:00:00
20	H383	m	2013	10	breed	16/10/2013	-11.11348765	-8.572000579	migrate	23.61492729	3281	0.144450819	1	2013-10-16 00:00:00
21	H383	m	2013	10	breed	16/10/2013	-11.1394233	-9.601208974	migrate	22.93315086	3357	NA	1	2013-10-16 00:00:00
22	H383	m	2013	10	breed	17/10/2013	-10.91470641	-6.857070492	migrate	23.68598899	3236	0.216495424	1	2013-10-17 00:00:00
23	H383	m	2013	10	breed	17/10/2013	-11.43946612	-3.793233418	migrate	23.61747543	3473	0.270067441	1	2013-10-17 00:00:00
24	H383	m	2013	10	breed	18/10/2013	-11.71355384	-5.223710823	migrate	24.03038323	2479	0.297990129	1	2013-10-18 00:00:00
25	H383	m	2013	10	breed	18/10/2013	-11.23689946	-8.895392606	migrate	23.35287795	3517	0.11691221	1	2013-10-18 00:00:00
26	H383	m	2013	10	breed	19/10/2013	-13.00987613	-15.92416465	migrate	21.40794179	2606	0.107138514	1	2013-10-19 00:00:00
27	H383	m	2013	10	breed	19/10/2013	-14.53214854	-9.792933537	migrate	23.80263882	2374	NA	1	2013-10-19 00:00:00
28	H383	m	2013	10	breed	20/10/2013	-14.05350571	-6.064203889	migrate	24.26594633	3544	0.223141207	1	2013-10-20 00:00:00
29	H383	m	2013	10	breed	20/10/2013	-13.82421694	-7.064725266	migrate	24.09368474	3534	0.131654903	1	2013-10-20 00:00:00
30	H383	m	2013	10	breed	21/10/2013	-14.34432595	-9.406614504	migrate	23.51206565	2557	NA	1	2013-10-21 00:00:00
31	H383	m	2013	10	breed	21/10/2013	-13.11355197	-15.66651846	migrate	21.37262171	2786	0.076238997	1	2013-10-21 00:00:00
32	H383	m	2013	10	breed	22/10/2013	-12.8821874	-13.46713082	migrate	22.23788053	3537	NA	1	2013-10-22 00:00:00
33	H383	m	2013	10	breed	22/10/2013	-13.15016372	-13.1703523	migrate	22.2324891	3405	NA	1	2013-10-22 00:00:00
34	H383	m	2013	10	breed	23/10/2013	-12.91737355	-10.96719735	migrate	23.32952021	2414	NA	1	2013-10-23 00:00:00
35	H383	m	2013	10	breed	23/10/2013	-13.93397243	-7.472707018	migrate	24.03838354	3526	0.148441781	1	2013-10-23 00:00:00
36	H383	m	2013	10	breed	24/10/2013	-13.44970186	-5.215826697	migrate	24.37146759	3264	0.21775999	1	2013-10-24 00:00:00
37	H383	m	2013	10	breed	24/10/2013	-13.7147567	-5.049711162	migrate	24.28163896	3223	0.243668598	1	2013-10-24 00:00:00
38	H383	m	2013	10	breed	25/10/2013	-13.9790625	-6.11894767	migrate	24.37761779	3352	0.194414614	1	2013-10-25 00:00:00
39	H383	m	2013	10	breed	25/10/2013	-14.49263016	-4.879461992	migrate	24.27563584	3538	0.218108447	1	2013-10-25 00:00:00
40	H383	m	2013	10	breed	26/10/2013	-15.00543253	-5.917580975	migrate	24.36976129	4006	0.152206048	1	2013-10-26 00:00:00
41	H383	m	2013	10	breed	26/10/2013	-14.51739841	-8.823464371	migrate	23.78297787	2936	0.123824351	1	2013-10-26 00:00:00
42	H383	m	2013	10	breed	27/10/2013	-14.27860925	-6.749031267	migrate	24.13845128	3620	0.131528082	1	2013-10-27 00:00:00
43	H383	m	2013	10	breed	27/10/2013	-13.03898553	-12.38254197	migrate	22.58749125	3194	NA	1	2013-10-27 00:00:00
44	H383	m	2013	10	non_breed	28/10/2013	-13.29866301	-12.27497342	migrate	NA	3384	NA	1	2013-10-28 00:00:00
45	H383	m	2013	10	non_breed	28/10/2013	-14.55759234	-8.340694874	migrate	23.75688282	3455	0.238900891	1	2013-10-28 00:00:00
46	H383	m	2013	10	non_breed	29/10/2013	-14.31564746	-6.350431377	migrate	24.172122	4008	0.108526203	1	2013-10-29 00:00:00
47	H383	m	2013	10	non_breed	29/10/2013	-14.32290946	-7.175109757	migrate	23.93312153	3793	0.135888544	1	2013-10-29 00:00:00
48	H383	m	2013	10	non_breed	30/10/2013	-12.82931047	-1.296257621	migrate	24.87727368	2000	0.287304145	1	2013-10-30 00:00:00
49	H383	m	2013	10	non_breed	30/10/2013	-11.58491656	-6.049999251	migrate	24.00926278	2208	0.236745742	1	2013-10-30 00:00:00
50	H383	m	2013	10	non_breed	31/10/2013	-11.58974349	-5.056775889	migrate	23.92654515	3815	0.326504782	1	2013-10-31 00:00:00
51	H383	m	2013	10	non_breed	31/10/2013	-11.09373413	-7.703206429	migrate	24.12103325	3458	0.206569495	1	2013-10-31 00:00:00
52	H383	m	2013	11	non_breed	01/11/2013	-10.84690225	-6.728936899	migrate	23.96012756	3850	0.140378652	1	2013-11-01 00:00:00
53	H383	m	2013	11	non_breed	01/11/2013	-10.84923957	-7.509905648	migrate	23.52727942	3716	0.102457279	1	2013-11-01 00:00:00
54	H383	m	2013	11	non_breed	02/11/2013	-10.85073656	-7.429653084	migrate	23.36415561	3606	0.107699088	1	2013-11-02 00:00:00
55	H383	m	2013	11	non_breed	02/11/2013	-10.85138893	-7.32537498	migrate	23.4974143	3523	0.12098067	1	2013-11-02 00:00:00
56	H383	m	2013	11	non_breed	03/11/2013	-11.10119164	-8.096487534	migrate	24.00109674	3502	0.10070286	1	2013-11-03 00:00:00
57	H383	m	2013	11	non_breed	03/11/2013	-11.35013949	-7.993708565	migrate	24.1394098	3147	0.113119394	1	2013-11-03 00:00:00
58	H383	m	2013	11	non_breed	04/11/2013	-10.34824447	-4.502366679	migrate	24.61256604	3848	0.232616717	1	2013-11-04 00:00:00
59	H383	m	2013	11	non_breed	04/11/2013	-10.34548147	-4.44504683	migrate	24.62924502	3681	0.227258092	1	2013-11-04 00:00:00
60	H383	m	2013	11	non_breed	05/11/2013	-10.34185526	-4.378721922	migrate	24.67571676	3526	0.231224215	1	2013-11-05 00:00:00
61	H383	m	2013	11	non_breed	05/11/2013	-9.587383346	-6.820755684	migrate	23.89241436	3662	NA	1	2013-11-05 00:00:00
62	H383	m	2013	11	non_breed	06/11/2013	-9.582025331	-5.915369552	migrate	24.22442252	3453	0.164980501	1	2013-11-06 00:00:00
63	H383	m	2013	11	non_breed	06/11/2013	-9.82578629	-5.858242339	migrate	24.33273506	3341	0.172050638	1	2013-11-06 00:00:00
64	H383	m	2013	11	non_breed	07/11/2013	-9.318702079	-3.32487642	migrate	24.74441936	3942	0.21933886	1	2013-11-07 00:00:00
65	H383	m	2013	11	non_breed	07/11/2013	-10.8106527	0.857264002	migrate	25.36397024	3942	NA	1	2013-11-07 00:00:00
66	H383	m	2013	11	non_breed	08/11/2013	-12.05172338	-2.415870847	migrate	25.08272021	2821	0.225926438	1	2013-11-08 00:00:00
67	H383	m	2013	11	non_breed	08/11/2013	-10.79204312	-7.15428697	migrate	24.19492241	3462	NA	1	2013-11-08 00:00:00
68	H383	m	2013	11	non_breed	09/11/2013	-11.03140139	-7.053763862	migrate	24.12561282	3355	0.152700685	1	2013-11-09 00:00:00
69	H383	m	2013	11	non_breed	09/11/2013	-11.26987463	-7.007286502	migrate	23.85199827	3221	0.144503588	1	2013-11-09 00:00:00
70	H383	m	2013	11	non_breed	10/11/2013	-11.25747932	-6.904900391	migrate	23.81526032	4046	0.143371833	1	2013-11-10 00:00:00
71	H383	m	2013	11	non_breed	10/11/2013	-11.74416141	-5.357110007	migrate	24.08343177	2682	0.240052452	1	2013-11-10 00:00:00
72	H383	m	2013	11	non_breed	11/11/2013	-11.72999419	-4.503491117	migrate	24.59287185	3248	0.27248848	1	2013-11-11 00:00:00
73	H383	m	2013	11	non_breed	11/11/2013	-11.96492027	-4.493112761	migrate	24.58058051	2518	0.271280391	1	2013-11-11 00:00:00
74	H383	m	2013	11	non_breed	12/11/2013	-11.19904976	-1.361516164	migrate	24.72231781	4168	0.418616307	1	2013-11-12 00:00:00
75	H383	m	2013	11	non_breed	12/11/2013	-11.4322058	-0.620322102	migrate	24.6335196	3498	0.467906944	1	2013-11-12 00:00:00
76	H383	m	2013	11	non_breed	13/11/2013	-10.66457573	2.525455992	migrate	26.63894474	4700	NA	1	2013-11-13 00:00:00
77	H383	m	2013	11	non_breed	13/11/2013	-9.646096123	-1.337411705	migrate	24.64933734	4536	0.292570818	1	2013-11-13 00:00:00
78	H383	m	2013	11	non_breed	14/11/2013	-9.876605559	-1.257382918	migrate	24.55782283	3722	NA	1	2013-11-14 00:00:00
79	H383	m	2013	11	non_breed	14/11/2013	-8.856375898	-4.217084235	migrate	24.27969217	4066	0.283938715	1	2013-11-14 00:00:00
80	H383	m	2013	11	non_breed	15/11/2013	-8.585186229	-2.670905547	migrate	24.85289426	4227	0.284911269	1	2013-11-15 00:00:00
81	H383	m	2013	11	non_breed	15/11/2013	-7.313246529	-6.249290431	migrate	23.60975553	4558	0.133937643	1	2013-11-15 00:00:00
82	H383	m	2013	11	non_breed	16/11/2013	-7.040313654	-5.438129349	migrate	24.10542774	4081	0.122095148	1	2013-11-16 00:00:00
83	H383	m	2013	11	non_breed	16/11/2013	-8.266308083	-1.923096158	migrate	24.8465521	4291	0.295296101	1	2013-11-16 00:00:00
84	H383	m	2013	11	non_breed	17/11/2013	-8.741524876	-2.538423355	migrate	24.7697897	4186	NA	1	2013-11-17 00:00:00
85	H383	m	2013	11	non_breed	17/11/2013	-7.966050476	-5.353373697	migrate	24.14832575	4133	0.21080508	1	2013-11-17 00:00:00
86	H383	m	2013	11	non_breed	18/11/2013	-6.939756582	-2.476498239	migrate	24.79757806	4549	0.233090679	1	2013-11-18 00:00:00
87	H383	m	2013	11	non_breed	18/11/2013	-7.412381029	-1.825094968	migrate	24.78629803	5151	0.264266654	1	2013-11-18 00:00:00
88	H383	m	2013	11	non_breed	19/11/2013	-6.634342927	1.074642286	migrate	26.21737365	5126	NA	1	2013-11-19 00:00:00
89	H383	m	2013	11	non_breed	19/11/2013	-6.105418876	-0.39562447	migrate	25.63499146	4790	NA	1	2013-11-19 00:00:00
90	H383	m	2013	11	non_breed	20/11/2013	-7.325357353	-3.715501413	migrate	24.5244751	4452	0.26822001	1	2013-11-20 00:00:00
91	H383	m	2013	11	non_breed	20/11/2013	-7.544614163	-3.088365165	migrate	24.82893331	4377	0.245620532	1	2013-11-20 00:00:00
92	H383	m	2013	11	non_breed	21/11/2013	-6.763208376	-0.950673709	migrate	25.11128873	4716	0.226867498	1	2013-11-21 00:00:00
93	H383	m	2013	11	non_breed	21/11/2013	-5.731022575	-3.6947532	migrate	24.81986712	4311	0.262979186	1	2013-11-21 00:00:00
94	H383	m	2013	11	non_breed	22/11/2013	-5.697832316	-2.916805084	migrate	24.81606118	4871	0.278371341	1	2013-11-22 00:00:00
95	H383	m	2013	11	non_breed	22/11/2013	-5.913773332	-2.31548731	migrate	24.89975598	5041	0.236403763	1	2013-11-22 00:00:00
96	H383	m	2013	11	non_breed	23/11/2013	-6.378848441	-3.513244756	migrate	24.77984574	4630	0.283955314	1	2013-11-23 00:00:00
97	H383	m	2013	11	non_breed	23/11/2013	-5.593361312	-4.861706783	migrate	23.97059272	4361	0.178770825	1	2013-11-23 00:00:00
98	H383	m	2013	11	non_breed	24/11/2013	-5.306977193	-4.095709232	migrate	24.34249043	4588	0.281214016	1	2013-11-24 00:00:00
99	H383	m	2013	11	non_breed	24/11/2013	-5.769644327	-2.225774372	migrate	24.92711297	4808	0.227626966	1	2013-11-24 00:00:00
100	H383	m	2013	11	non_breed	25/11/2013	-5.231733795	-0.810708301	migrate	25.45740326	5262	NA	1	2013-11-25 00:00:00
101	H383	m	2013	11	non_breed	25/11/2013	-4.942994181	-1.540808696	migrate	25.05438834	5040	0.241513129	1	2013-11-25 00:00:00
102	H383	m	2013	11	non_breed	26/11/2013	-4.903430213	-1.422952018	migrate	25.1970719	5159	0.233380928	1	2013-11-26 00:00:00
103	H383	m	2013	11	non_breed	26/11/2013	-3.113499259	-5.283489554	migrate	24.04852673	4929	0.126515486	1	2013-11-26 00:00:00
104	H383	m	2013	11	non_breed	27/11/2013	-3.322368311	-5.76735571	migrate	24.08123815	4770	0.139536153	1	2013-11-27 00:00:00
105	H383	m	2013	11	non_breed	27/11/2013	-4.280314272	-2.734501213	migrate	25.07863919	4848	0.182252258	1	2013-11-27 00:00:00
106	H383	m	2013	11	non_breed	28/11/2013	-3.487933497	-1.352660625	migrate	25.45372365	5124	0.184163429	1	2013-11-28 00:00:00
107	H383	m	2013	11	non_breed	28/11/2013	-2.944771667	-2.069898826	migrate	25.18959644	4807	0.178456908	1	2013-11-28 00:00:00
108	H383	m	2013	11	non_breed	29/11/2013	-2.900773824	-1.943908305	migrate	25.34539433	4967	0.18754244	1	2013-11-29 00:00:00
109	H383	m	2013	11	non_breed	29/11/2013	-2.606131899	-2.65342389	migrate	25.22874032	4810	0.162019749	1	2013-11-29 00:00:00
110	H383	m	2013	11	non_breed	30/11/2013	-2.060859139	-1.288879776	migrate	25.21305119	4499	NA	1	2013-11-30 00:00:00
111	H383	m	2013	11	non_breed	30/11/2013	-2.764581993	0.474834696	migrate	26.00027219	5116	NA	1	2013-11-30 00:00:00
112	H383	m	2013	12	non_breed	01/12/2013	-3.967493557	-3.093494943	migrate	25.6110677	4732	0.169085743	1	2013-12-01 00:00:00
113	H383	m	2013	12	non_breed	01/12/2013	-4.169997952	-1.971640042	migrate	25.63235196	4831	0.16789487	1	2013-12-01 00:00:00
114	H383	m	2013	12	non_breed	02/12/2013	-3.372117124	-0.619194209	migrate	26.04990306	5060	0.213107263	1	2013-12-02 00:00:00
115	H383	m	2013	12	non_breed	02/12/2013	-2.323669571	-2.546686339	migrate	25.49113721	4690	0.145086484	1	2013-12-02 00:00:00
116	H383	m	2013	12	non_breed	03/12/2013	-1.77446265	-1.204776036	migrate	25.95962951	4978	0.155058534	1	2013-12-03 00:00:00
117	H383	m	2013	12	non_breed	03/12/2013	-1.724503313	-1.312295415	migrate	26.01440624	4976	0.152515727	1	2013-12-03 00:00:00
118	H383	m	2013	12	non_breed	04/12/2013	-2.173799046	-2.37994248	migrate	25.60279158	4772	NA	1	2013-12-04 00:00:00
119	H383	m	2013	12	non_breed	04/12/2013	-3.372286254	0.519600055	migrate	26.80736194	5123	0.150171739	1	2013-12-04 00:00:00
120	H383	m	2013	12	non_breed	05/12/2013	-5.070043315	-3.531371817	migrate	25.66220466	4551	0.174971113	1	2013-12-05 00:00:00
121	H383	m	2013	12	non_breed	05/12/2013	-5.017736295	-3.047171159	migrate	25.46878125	4781	0.147493672	1	2013-12-05 00:00:00
122	H383	m	2013	12	non_breed	06/12/2013	-4.215099914	-1.728081598	migrate	25.45070044	5168	0.200929863	1	2013-12-06 00:00:00
123	H383	m	2013	12	non_breed	06/12/2013	-4.911483754	-0.059711192	migrate	26.23795117	5151	NA	1	2013-12-06 00:00:00
124	H383	m	2013	12	non_breed	07/12/2013	-5.107490747	-1.113385093	migrate	25.57946329	5111	0.218458697	1	2013-12-07 00:00:00
125	H383	m	2013	12	non_breed	07/12/2013	-5.552911661	0.546909313	migrate	26.36665772	4937	NA	1	2013-12-07 00:00:00
126	H383	m	2013	12	non_breed	08/12/2013	-4.998142103	1.874656517	migrate	27.57729232	4984	NA	1	2013-12-08 00:00:00
127	H383	m	2013	12	non_breed	08/12/2013	-5.692509185	3.539176291	migrate	27.60560668	4208	NA	1	2013-12-08 00:00:00
128	H383	m	2013	12	non_breed	09/12/2013	-5.636641484	3.071415374	migrate	27.43253338	4580	NA	1	2013-12-09 00:00:00
129	H383	m	2013	12	non_breed	09/12/2013	-5.330402771	2.935490053	migrate	27.41914128	4538	NA	1	2013-12-09 00:00:00
