Name:CatLog_1




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
05/02/2024, 16:17:27, 36.961295, -7.8826883, 54, 4, 3.3, 3.4, 27, 5.556, 63, 36, 39
05/02/2024, 16:22:59, 36.96171, -7.8834467, 60, 4, 3.5, 3.6, 22, 0, 30, 36, 39
05/02/2024, 16:28:19, 36.9611317, -7.8849617, 42, 4, 3.7, 3.8, 21, 0, 18, 32, 37
05/02/2024, 16:33:54, 36.962315, -7.8849533, 24, 8, 0.8, 1.2, 21, 0, 33, 35, 39
05/02/2024, 16:38:57, 36.9623333, -7.884945, 22, 8, 0.8, 1.2, 21, 0, 2, 37, 40
05/02/2024, 16:44:01, 36.9623267, -7.884795, 32, 7, 0.9, 1.2, 22, 0, 1, 36, 39
05/02/2024, 16:49:04, 36.9621683, -7.88466, 18, 8, 0.8, 1.2, 22, 1.852, 1, 36, 41
05/02/2024, 16:54:08, 36.96205, -7.8848083, 46, 7, 1.1, 1.4, 22, 0, 2, 36, 40
05/02/2024, 16:59:12, 36.96279, -7.8838367, 28, 8, 0.8, 1.1, 22, 16.668, 2, 33, 39
05/02/2024, 17:04:16, 36.9632333, -7.8844867, 34, 7, 1.1, 1.4, 22, 0, 2, 36, 42
05/02/2024, 17:09:21, 36.9636633, -7.8843767, 94, 7, 1.1, 1.5, 22, 0, 3, 38, 41
05/02/2024, 17:14:25, 36.963745, -7.88428, 62, 7, 1.1, 1.5, 23, 1.852, 3, 37, 41
05/02/2024, 17:19:31, 36.96324, -7.88444, 32, 7, 1.2, 1.5, 23, 0, 4, 35, 41
05/02/2024, 17:24:35, 36.9631917, -7.8844533, 52, 7, 1.2, 1.5, 24, 0, 2, 36, 42
05/02/2024, 17:29:39, 36.963155, -7.8844983, 74, 6, 1.3, 1.6, 24, 0, 1, 37, 41
05/02/2024, 17:34:42, 36.9633483, -7.8843267, -4, 6, 1.6, 1.8, 24, 3.704, 1, 37, 41
05/02/2024, 17:39:47, 36.9634217, -7.8843417, -14, 5, 1.8, 2.0, 24, 1.852, 2, 36, 41
05/02/2024, 17:44:50, 36.9633633, -7.8843333, 0, 6, 1.8, 2.0, 24, 0, 1, 35, 42
05/02/2024, 17:49:53, 36.963305, -7.8843217, 10, 5, 2.5, 2.7, 24, 0, 1, 35, 42
05/02/2024, 17:54:57, 36.9631817, -7.8844133, 56, 6, 2.1, 2.3, 23, 5.556, 1, 35, 42
05/02/2024, 18:00:00, 36.9637, -7.8842417, -20, 6, 2.2, 2.4, 24, 5.556, 1, 36, 42
05/02/2024, 18:05:04, 36.9631983, -7.8844317, 24, 5, 3.9, 4.0, 24, 3.704, 1, 35, 42
05/02/2024, 18:10:07, 36.9632717, -7.8843283, 22, 5, 4.5, 4.6, 23, 24.076, 1, 35, 41
05/02/2024, 18:15:10, 36.9642583, -7.8841683, -50, 5, 4.9, 5.0, 24, 0, 1, 37, 41
05/02/2024, 18:20:53, 36.9632567, -7.884395, 22, 9, 0.9, 1.5, 24, 0, 41, 35, 41
05/02/2024, 18:25:56, 36.9632017, -7.8844717, 22, 7, 1.1, 1.4, 24, 0, 1, 38, 41
05/02/2024, 18:30:59, 36.9632267, -7.884425, 32, 9, 0.9, 1.2, 24, 1.852, 1, 35, 41
05/02/2024, 18:36:03, 36.96321, -7.88451, 12, 8, 1.1, 1.4, 23, 0, 1, 35, 41
05/02/2024, 18:41:06, 36.9632333, -7.884525, 0, 9, 0.9, 1.2, 23, 1.852, 1, 36, 42
05/02/2024, 18:46:10, 36.9632433, -7.8844517, 26, 8, 1.0, 1.4, 23, 0, 1, 37, 42
05/02/2024, 18:51:13, 36.9632133, -7.8845033, 6, 8, 1.0, 1.3, 23, 3.704, 1, 37, 41
05/02/2024, 18:56:16, 36.9632267, -7.8844367, 18, 8, 1.0, 1.3, 23, 5.556, 1, 36, 41
05/02/2024, 19:01:20, 36.9632567, -7.88454, -2, 8, 1.0, 1.3, 23, 1.852, 1, 36, 42
05/02/2024, 19:06:23, 36.9632483, -7.8844933, 18, 7, 1.2, 1.5, 23, 3.704, 1, 37, 40
05/02/2024, 19:11:28, 36.9633633, -7.88454, 18, 7, 1.2, 1.5, 23, 0, 2, 34, 41
05/02/2024, 19:16:32, 36.9632817, -7.88448, 16, 6, 2.4, 2.5, 23, 0, 2, 36, 41
05/02/2024, 19:21:35, 36.9632733, -7.884495, 20, 6, 2.4, 2.5, 23, 3.704, 1, 36, 41
05/02/2024, 19:26:38, 36.96331, -7.88453, 10, 6, 2.3, 2.5, 23, 0, 1, 36, 41
05/02/2024, 19:31:41, 36.9633083, -7.8845233, 16, 6, 2.2, 2.4, 23, 3.704, 1, 36, 42
05/02/2024, 19:36:45, 36.9632267, -7.8844483, 12, 6, 2.1, 2.3, 22, 0, 1, 36, 41
05/02/2024, 19:41:48, 36.9633033, -7.8845167, 8, 5, 2.8, 2.9, 22, 0, 1, 36, 41
05/02/2024, 19:46:51, 36.96335, -7.88456, -8, 5, 2.6, 2.8, 22, 0, 1, 37, 41
05/02/2024, 19:51:54, 36.9632833, -7.884505, 22, 5, 2.5, 2.7, 22, 0, 1, 37, 41
05/02/2024, 19:56:58, 36.96351, -7.8847367, -46, 5, 2.4, 2.6, 22, 0, 1, 37, 40
05/02/2024, 20:02:01, 36.9634017, -7.88459, -6, 5, 2.3, 2.4, 22, 7.408, 1, 36, 41
05/02/2024, 20:07:04, 36.9634733, -7.884735, -62, 5, 2.1, 2.3, 22, 7.408, 1, 37, 40
05/02/2024, 20:12:08, 36.9632117, -7.8844283, 12, 5, 2.1, 2.3, 22, 3.704, 2, 36, 40
05/02/2024, 20:17:12, 36.9631717, -7.884375, 38, 5, 2.0, 2.2, 22, 3.704, 1, 35, 40
05/02/2024, 20:22:54, 36.963265, -7.8844333, 16, 10, 0.8, 1.1, 22, 0, 40, 36, 40
05/02/2024, 20:27:58, 36.9633533, -7.8844433, 12, 9, 0.8, 1.1, 21, 0, 3, 35, 40
05/02/2024, 20:33:01, 36.9632383, -7.88448, 0, 6, 1.2, 1.5, 21, 7.408, 1, 34, 36
05/02/2024, 20:38:05, 36.9632817, -7.8843983, 12, 9, 0.8, 1.1, 21, 0, 1, 36, 40
05/02/2024, 20:43:09, 36.963265, -7.8844183, 10, 9, 0.8, 1.1, 21, 0, 2, 36, 40
05/02/2024, 20:48:13, 36.9632483, -7.8844767, 22, 9, 0.8, 1.1, 21, 0, 1, 35, 40
05/02/2024, 20:53:17, 36.9632767, -7.8844117, 12, 9, 0.8, 1.1, 21, 0, 2, 35, 40
05/02/2024, 20:58:20, 36.96326, -7.8844817, 16, 8, 1.0, 1.3, 21, 0, 1, 35, 40
05/02/2024, 21:03:24, 36.96327, -7.884405, 50, 6, 1.5, 1.7, 21, 0, 1, 39, 41
05/02/2024, 21:08:27, 36.963315, -7.8843517, 26, 8, 0.9, 1.2, 21, 0, 1, 34, 41
05/02/2024, 21:13:31, 36.9632017, -7.8843283, 12, 7, 1.1, 1.4, 21, 20.372, 1, 35, 39
05/02/2024, 21:18:34, 36.96321, -7.8844983, 52, 6, 1.4, 1.7, 21, 12.964, 1, 36, 39
