Name:20269




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
05/02/2024, 14:40:04, 36.96457, -7.8850033, 100, 3, 3.3, 3.4, 30, 0, 51, 34, 40
05/02/2024, 14:45:35, 36.96174, -7.882285, 100, 3, 3.1, 3.2, 19, 12.964, 29, 35, 40
05/02/2024, 14:50:54, 36.9629083, -7.8809683, 100, 3, 2.9, 3.1, 16, 0, 17, 36, 40
05/02/2024, 14:56:12, 36.9635017, -7.8836517, 100, 3, 2.9, 3.0, 16, 0, 16, 36, 40
05/02/2024, 15:01:35, 36.9634783, -7.8835817, 100, 3, 2.9, 3.0, 18, 1.852, 21, 35, 38
05/02/2024, 15:06:54, 36.96346, -7.8835067, 100, 3, 2.9, 3.0, 18, 0, 17, 36, 40
05/02/2024, 15:12:12, 36.96318, -7.8835483, 100, 3, 2.9, 3.1, 19, 20.372, 16, 34, 39
05/02/2024, 15:17:44, 36.96341, -7.8835817, 88, 3, 3.0, 3.2, 20, 25.928, 30, 35, 40
05/02/2024, 15:23:18, 36.9631317, -7.8841533, 20, 5, 1.7, 1.9, 20, 1.852, 32, 36, 39
05/02/2024, 15:28:21, 36.9631083, -7.8847867, 22, 5, 1.7, 1.9, 21, 0, 1, 35, 40
05/02/2024, 15:33:24, 36.9630983, -7.8861883, 30, 5, 1.6, 1.8, 21, 0, 1, 35, 40
05/02/2024, 15:38:38, 36.9631467, -7.8841217, 22, 5, 1.6, 1.8, 22, 0, 11, 33, 41
05/02/2024, 15:43:41, 36.9631133, -7.8844717, 24, 5, 1.5, 1.7, 22, 9.26, 1, 34, 40
05/02/2024, 15:48:55, 36.962825, -7.8830833, -12, 5, 1.5, 1.7, 22, 0, 12, 33, 41
05/02/2024, 15:54:07, 36.9631, -7.88382, -6, 4, 2.3, 2.5, 22, 0, 10, 34, 42
05/02/2024, 15:59:20, 36.9631817, -7.8835, 50, 4, 2.2, 2.4, 22, 14.816, 10, 35, 39
05/02/2024, 16:04:31, 36.9637683, -7.884215, 22, 4, 2.0, 2.3, 21, 0, 9, 37, 40
05/02/2024, 16:09:43, 36.963035, -7.88406, 24, 4, 1.9, 2.2, 21, 1.852, 10, 35, 40
05/02/2024, 16:14:48, 36.9632167, -7.8842217, 28, 4, 1.8, 2.1, 21, 0, 3, 37, 41
05/02/2024, 16:20:02, 36.9630367, -7.8840533, 18, 4, 1.7, 2.0, 21, 0, 11, 36, 42
05/02/2024, 16:25:13, 36.96301, -7.8840133, 12, 4, 1.7, 2.0, 21, 0, 9, 35, 39
05/02/2024, 16:30:25, 36.96301, -7.88398, 6, 4, 1.6, 1.9, 22, 0, 10, 37, 39
05/02/2024, 16:35:29, 36.9632717, -7.8843117, 44, 4, 1.6, 1.9, 22, 0, 2, 36, 39
05/02/2024, 16:41:12, 36.963125, -7.884075, 20, 9, 0.8, 1.1, 21, 0, 40, 34, 41
05/02/2024, 16:46:15, 36.9631283, -7.884035, 6, 8, 1.1, 1.4, 22, 0, 1, 34, 40
05/02/2024, 16:51:18, 36.9630867, -7.88384, 14, 9, 0.8, 1.1, 20, 33.336, 1, 35, 40
05/02/2024, 16:56:22, 36.963095, -7.884075, 26, 9, 0.8, 1.1, 20, 0, 1, 34, 39
05/02/2024, 17:01:25, 36.9631533, -7.884065, 14, 8, 0.9, 1.2, 20, 0, 1, 35, 39
05/02/2024, 17:06:28, 36.9631367, -7.884105, 24, 7, 1.1, 1.5, 21, 3.704, 1, 35, 40
05/02/2024, 17:11:31, 36.9630333, -7.8840567, 24, 7, 1.2, 1.5, 20, 3.704, 1, 34, 39
05/02/2024, 17:16:36, 36.9632383, -7.8839817, 0, 8, 1.1, 1.4, 20, 1.852, 2, 35, 40
05/02/2024, 17:21:39, 36.9631167, -7.8840767, -8, 5, 1.6, 1.8, 21, 20.372, 1, 35, 40
05/02/2024, 17:26:44, 36.9632617, -7.8840317, -14, 8, 1.1, 1.5, 22, 0, 3, 33, 41
05/02/2024, 17:31:49, 36.9631, -7.8840817, 8, 7, 1.3, 1.6, 22, 0, 2, 34, 40
05/02/2024, 17:36:54, 36.9632033, -7.88402, -2, 7, 1.4, 1.6, 22, 0, 3, 35, 41
05/02/2024, 17:42:00, 36.96298, -7.8841517, 36, 6, 1.6, 1.9, 21, 0, 3, 35, 40
05/02/2024, 17:47:04, 36.961905, -7.8849383, 182, 5, 2.0, 2.2, 21, 0, 2, 36, 40
05/02/2024, 17:52:08, 36.9629317, -7.88423, 26, 5, 2.0, 2.2, 21, 1.852, 2, 37, 39
05/02/2024, 17:57:11, 36.963115, -7.8839967, 22, 5, 2.0, 2.2, 21, 1.852, 1, 37, 40
05/02/2024, 18:02:15, 36.9630133, -7.88411, 26, 5, 2.0, 2.2, 21, 3.704, 1, 36, 39
05/02/2024, 18:07:19, 36.962955, -7.8840817, 58, 5, 1.9, 2.1, 21, 1.852, 2, 36, 40
05/02/2024, 18:12:23, 36.9630567, -7.8840417, 22, 5, 1.9, 2.1, 21, 1.852, 2, 37, 40
05/02/2024, 18:17:27, 36.96315, -7.8840867, 4, 5, 1.8, 2.0, 20, 0, 2, 37, 40
05/02/2024, 18:22:30, 36.9629767, -7.8842283, 34, 5, 1.8, 2.0, 20, 5.556, 1, 36, 39
05/02/2024, 18:27:35, 36.9630183, -7.8840933, 46, 5, 1.7, 1.9, 20, 0, 2, 36, 40
05/02/2024, 18:32:38, 36.962935, -7.8841983, 64, 5, 1.7, 1.9, 20, 16.668, 1, 36, 40
05/02/2024, 18:37:41, 36.9631217, -7.88412, 30, 5, 1.6, 1.9, 20, 5.556, 1, 35, 40
05/02/2024, 18:43:24, 36.9630933, -7.8840933, 16, 9, 0.9, 1.2, 20, 0, 40, 36, 40
05/02/2024, 18:48:28, 36.9630783, -7.8840783, 20, 5, 1.4, 1.7, 20, 0, 2, 38, 39
05/02/2024, 18:53:31, 36.9630183, -7.8840667, 10, 9, 0.9, 1.2, 20, 0, 1, 35, 40
05/02/2024, 18:58:34, 36.9630617, -7.88414, 14, 9, 0.9, 1.2, 19, 1.852, 1, 35, 39
