Name:CatLog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
05/02/2024,17:08:26,36.9634317,-7.8817433,32,9,1,1.3,13,33.336,2,35,40
05/02/2024,17:13:32,36.9634317,-7.8817733,-18,5,1.6,1.9,14,1.852,3,37,41
05/02/2024,17:18:35,36.963265,-7.883795,42,5,1.5,1.7,14,22.224,1,34,41
05/02/2024,17:23:40,36.96308,-7.8843917,24,9,1,1.3,15,0,3,36,40
05/02/2024,17:28:45,36.963185,-7.8843433,26,9,1,1.3,15,0,2,37,41
05/02/2024,17:33:50,36.96318,-7.88434,22,9,1,1.3,15,0,3,33,39
05/02/2024,17:38:55,36.9631717,-7.884285,16,9,1,1.3,15,0,3,34,40
05/02/2024,17:43:59,36.9631467,-7.8843033,14,8,1.1,1.4,15,0,2,36,41
05/02/2024,17:49:04,36.9631233,-7.884315,12,8,1.1,1.4,15,0,3,36,42
05/02/2024,17:54:07,36.9631533,-7.8843217,16,6,1.4,1.7,15,11.112,1,35,40
05/02/2024,17:59:11,36.962785,-7.884475,88,5,1.6,1.9,15,0,1,34,40
05/02/2024,18:04:14,36.9631,-7.88434,20,8,1.2,1.5,16,3.704,1,35,41
05/02/2024,18:09:18,36.9630967,-7.884255,16,7,1.2,1.5,15,0,2,35,40
05/02/2024,18:14:22,36.9630983,-7.884335,12,6,1.7,1.9,16,5.556,1,35,40
05/02/2024,18:19:25,36.963095,-7.8842483,22,6,1.5,1.7,16,0,1,38,42
05/02/2024,18:24:29,36.9630417,-7.884335,44,6,1.5,1.7,16,0,2,37,41
05/02/2024,18:29:32,36.9630833,-7.884455,16,6,1.5,1.8,16,3.704,1,37,41
05/02/2024,18:34:36,36.963,-7.8845333,34,6,1.5,1.7,16,0,1,36,42
05/02/2024,18:39:40,36.9630767,-7.8843867,14,6,1.4,1.7,16,0,2,37,42
05/02/2024,18:44:43,36.9630283,-7.8843467,38,6,1.4,1.7,16,0,1,37,42
05/02/2024,18:49:47,36.96308,-7.88434,22,6,1.3,1.6,16,0,2,38,42
05/02/2024,18:54:52,36.9631133,-7.8843833,-2,6,1.3,1.6,15,9.26,2,36,41
05/02/2024,18:59:56,36.9630883,-7.88436,10,6,1.3,1.6,15,0,2,37,41
05/02/2024,19:05:39,36.9631317,-7.8843217,20,11,0.7,1,16,0,41,34,41
05/02/2024,19:10:43,36.9630417,-7.8842867,24,6,1.1,1.5,15,0,2,37,42
05/02/2024,19:15:46,36.96315,-7.8844033,24,6,1.5,1.8,15,22.224,1,36,41
05/02/2024,19:20:50,36.9631417,-7.8843917,14,9,0.8,1.1,15,0,1,36,39
05/02/2024,19:25:53,36.9631917,-7.8842767,12,7,1,1.2,15,7.408,1,33,40
05/02/2024,19:30:57,36.96315,-7.8844117,10,10,0.8,1.1,15,0,2,35,40
05/02/2024,19:36:00,36.9631633,-7.88442,4,8,0.9,1.2,15,0,1,34,41
05/02/2024,19:41:05,36.9632267,-7.8844333,16,6,1.3,1.6,14,1.852,2,34,42
05/02/2024,19:46:08,36.9631333,-7.88433,12,7,1,1.3,14,0,1,37,42
05/02/2024,19:51:11,36.96302,-7.8844583,26,6,1.5,1.7,14,0,1,39,41
05/02/2024,19:56:14,36.963125,-7.8843183,22,8,0.9,1.2,14,0,1,37,42
05/02/2024,20:01:18,36.96319,-7.88441,10,7,1.2,1.5,14,0,1,37,42
05/02/2024,20:06:21,36.9628033,-7.8843083,84,7,1.2,1.5,14,3.704,1,38,43
05/02/2024,20:11:24,36.963115,-7.8843217,14,8,0.9,1.2,14,0,1,37,43
05/02/2024,20:16:27,36.963295,-7.8844717,-2,6,1.4,1.6,14,1.852,1,34,42
05/02/2024,20:21:32,36.9631133,-7.8843167,4,8,0.9,1.2,14,0,2,37,42
05/02/2024,20:26:35,36.9634283,-7.8846933,-74,7,1.3,1.5,14,0,1,37,43
05/02/2024,20:31:38,36.9631367,-7.8843233,-2,7,1.3,1.5,13,1.852,1,37,41
05/02/2024,20:36:41,36.9631933,-7.884235,-20,6,1.2,1.5,13,5.556,1,38,40
05/02/2024,20:41:45,36.9631017,-7.884325,12,6,1.2,1.5,13,1.852,1,38,40
05/02/2024,20:46:48,36.9629583,-7.8845133,4,5,1.5,1.8,13,1.852,1,39,42
05/02/2024,20:51:51,36.963105,-7.8843533,8,7,1.1,1.4,13,3.704,1,36,42
05/02/2024,20:56:54,36.9631683,-7.88413,22,5,1.5,1.8,12,1.852,1,35,41
05/02/2024,21:01:58,36.96313,-7.8843033,10,6,1.3,1.5,12,9.26,2,36,41
05/02/2024,21:07:41,36.963165,-7.8842817,22,8,0.9,1.2,12,0,40,34,40
05/02/2024,21:12:44,36.9631233,-7.8843183,30,8,0.9,1.2,12,0,1,37,41
05/02/2024,21:17:47,36.963095,-7.884265,64,5,1.6,1.9,12,24.076,1,34,39
05/02/2024,21:22:51,36.9631533,-7.88425,18,7,1.1,1.4,12,0,2,36,39
05/02/2024,21:27:54,36.963165,-7.8843367,12,6,1.4,1.7,12,5.556,1,34,40
05/02/2024,21:33:00,36.9631517,-7.88428,34,7,1.1,1.4,12,1.852,3,37,41
05/02/2024,21:38:04,36.9630783,-7.8843367,8,5,1.6,1.9,13,5.556,2,36,41
05/02/2024,21:43:07,36.963105,-7.884325,24,8,1,1.3,12,0,1,37,40
05/02/2024,21:48:10,36.9630883,-7.8843483,12,8,1.1,1.3,12,0,1,36,41
05/02/2024,21:53:14,36.9630733,-7.8842783,22,7,1.2,1.5,12,0,1,36,39
05/02/2024,21:58:17,36.9631117,-7.8843133,14,7,1.2,1.5,12,1.852,1,36,40
05/02/2024,22:03:20,36.96313,-7.8843267,12,7,1.2,1.5,12,3.704,1,36,40
05/02/2024,22:08:24,36.9631167,-7.8843433,18,7,1.2,1.5,12,0,2,36,41
05/02/2024,22:13:28,36.9631167,-7.8843017,8,7,1.2,1.5,12,5.556,1,36,41
05/02/2024,22:18:31,36.963195,-7.8844367,26,6,1.4,1.7,12,11.112,1,36,41
05/02/2024,22:23:35,36.9631883,-7.88438,20,7,1.2,1.5,12,0,2,36,41
