Name:CatLog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
08/18/2023, 22:45:01, 39.41214, -9.5039633, -20, 6, 1.1, 1.3, 23, 0, 40, 20, 26
08/18/2023, 22:55:11, 39.4087183, -9.5055583, -34, 6, 1.0, 1.3, 22, 22.224, 8, 34, 41
08/18/2023, 23:05:18, 39.40589, -9.502155, -108, 6, 1.0, 1.3, 22, 1.852, 4, 32, 40
08/18/2023, 23:15:27, 39.4044317, -9.504325, 0, 5, 1.1, 1.3, 22, 1.852, 6, 31, 39
08/18/2023, 23:26:20, 39.4034433, -9.5081833, -26, 5, 1.1, 1.3, 22, 1.852, 52, 32, 39
08/18/2023, 23:36:54, 39.3990933, -9.510995, -2, 7, 1.1, 1.4, 22, 0, 32, 35, 43
08/18/2023, 23:46:58, 39.3980167, -9.5136583, 4, 7, 1.1, 1.4, 22, 1.852, 2, 32, 37
08/18/2023, 23:57:01, 39.3972317, -9.5168867, -10, 6, 1.3, 1.6, 22, 1.852, 1, 34, 41
08/19/2023, 00:07:05, 39.3965917, -9.519885, 10, 6, 1.3, 1.6, 22, 0, 1, 35, 42
08/19/2023, 00:17:08, 39.3963583, -9.5231317, 12, 6, 1.3, 1.6, 22, 1.852, 1, 35, 40
08/19/2023, 00:27:11, 39.396185, -9.526415, 0, 6, 1.3, 1.6, 22, 5.556, 1, 34, 40
08/19/2023, 00:37:14, 39.3959717, -9.529845, 0, 6, 1.3, 1.6, 22, 3.704, 1, 37, 43
08/19/2023, 00:47:57, 39.3959733, -9.5336167, 4, 8, 0.9, 1.2, 22, 0, 40, 37, 41
08/19/2023, 00:58:00, 39.3958867, -9.5374133, 0, 7, 1.3, 1.6, 22, 1.852, 1, 39, 43
08/19/2023, 01:08:04, 39.3963483, -9.5404867, -4, 7, 1.3, 1.5, 22, 1.852, 2, 38, 42
08/19/2023, 01:18:09, 39.39696, -9.5439883, 2, 7, 1.2, 1.5, 22, 1.852, 2, 37, 40
08/19/2023, 01:28:14, 39.3978333, -9.5474667, 8, 7, 1.2, 1.9, 22, 1.852, 3, 37, 41
08/19/2023, 01:38:19, 39.3983883, -9.5523, 4, 7, 1.1, 1.4, 22, 1.852, 3, 36, 41
08/19/2023, 01:48:22, 39.4003417, -9.5564367, 28, 5, 1.4, 1.7, 22, 3.704, 1, 38, 42
08/19/2023, 01:58:26, 39.40089, -9.5594633, 14, 6, 1.2, 1.4, 22, 1.852, 1, 34, 41
08/19/2023, 02:08:29, 39.401835, -9.5628317, 68, 5, 1.3, 1.6, 22, 7.408, 1, 33, 39
08/19/2023, 02:18:32, 39.4042583, -9.5666267, 24, 5, 1.3, 1.6, 22, 7.408, 1, 34, 39
