Name:CatLog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
08/18/2023, 00:17:30, 39.414025, -9.50476, 28, 6, 1.3, 1.6, 23, 0, 24, 36, 41
08/18/2023, 00:27:44, 39.4121417, -9.5072117, 22, 6, 1.3, 1.6, 20, 35.188, 11, 34, 41
08/18/2023, 00:37:55, 39.410395, -9.4978917, 8, 6, 1.3, 1.6, 17, 1.852, 9, 34, 38
08/18/2023, 00:48:07, 39.41679, -9.4924733, -2, 6, 1.3, 1.6, 18, 0, 10, 34, 41
08/18/2023, 00:58:19, 39.4135933, -9.49579, -4, 6, 1.4, 1.6, 18, 0, 10, 33, 39
08/18/2023, 01:08:33, 39.410915, -9.497755, 0, 6, 1.4, 1.6, 18, 1.852, 11, 33, 40
08/18/2023, 01:18:52, 39.408885, -9.50128, -8, 5, 3.1, 3.2, 17, 1.852, 17, 35, 40
08/18/2023, 01:29:12, 39.4068833, -9.5037783, -2, 5, 2.6, 2.7, 17, 1.852, 18, 35, 40
08/18/2023, 01:39:15, 39.4050383, -9.5058817, 6, 5, 2.1, 2.3, 17, 0, 1, 37, 41
08/18/2023, 01:49:25, 39.40438, -9.5097767, 30, 5, 1.8, 2.0, 18, 1.852, 8, 34, 42
08/18/2023, 01:59:30, 39.4037083, -9.51309, -8, 4, 2.6, 2.8, 17, 0, 2, 32, 39
08/18/2023, 02:10:12, 39.4039733, -9.51737, 12, 7, 1.0, 1.4, 17, 1.852, 40, 34, 40
08/18/2023, 02:20:16, 39.40425, -9.52032, 14, 7, 1.0, 1.4, 17, 1.852, 2, 36, 39
08/18/2023, 02:30:19, 39.4051617, -9.5226683, -4, 6, 1.2, 1.5, 17, 16.668, 1, 35, 40
08/18/2023, 02:40:24, 39.4061633, -9.5258567, 14, 7, 1.0, 1.3, 17, 1.852, 2, 36, 41
08/18/2023, 02:50:27, 39.407245, -9.52858, 2, 6, 1.4, 1.7, 17, 1.852, 1, 35, 39
08/18/2023, 03:00:30, 39.4088133, -9.5304383, 14, 6, 1.5, 1.7, 17, 7.408, 1, 35, 39
08/18/2023, 03:10:33, 39.4104917, -9.5320067, 6, 6, 1.4, 1.7, 17, 1.852, 1, 34, 38
08/18/2023, 03:20:36, 39.412445, -9.5347683, 6, 6, 1.4, 1.7, 17, 5.556, 1, 36, 40
08/18/2023, 03:30:40, 39.4143433, -9.535875, -6, 6, 1.4, 1.6, 17, 5.556, 1, 36, 39
08/18/2023, 03:40:44, 39.416205, -9.5367533, 0, 7, 1.2, 1.5, 16, 18.52, 2, 34, 40
08/18/2023, 03:50:48, 39.4179517, -9.5373733, 2, 7, 1.2, 1.5, 17, 1.852, 2, 35, 40
08/18/2023, 04:00:55, 39.4197183, -9.537465, -6, 6, 1.3, 1.6, 17, 1.852, 5, 35, 39
08/18/2023, 04:11:38, 39.4218017, -9.5378167, 4, 7, 1.2, 2.1, 16, 0, 40, 32, 40
08/18/2023, 04:21:44, 39.424125, -9.5386083, -14, 6, 1.7, 2.8, 17, 1.852, 4, 37, 41
08/18/2023, 04:31:53, 39.4262033, -9.5384417, -16, 6, 1.2, 1.5, 16, 0, 7, 32, 36
08/18/2023, 04:41:59, 39.4226933, -9.5477983, 6, 8, 1.0, 1.3, 17, 29.632, 3, 36, 40
