Bird_ID	Trip_ID	min_Date	max_Date	min_Latitude	max_Latitude	min_Longitude	max_Longitude	track_dur	total_distance	max_Dcol	mean_Temperature	sd_Temperature	mean_Speed	sd_Speed
1_L91287	1	2023-08-18 04:39:32	2023-08-18 20:23:42	39.3357417	39.4918933	-9.8793467	-9.5031267	15.7361111111111	1684.02	32.61	20.8723404255319	1.69270441216131	9.06297872340425	15.3861880688449
1_L91287	2	2023-08-19 04:59:36	2023-08-19 22:15:26	39.29983	39.5384983	-9.7627783	-9.4376917	17.2638888888889	1421.41	24.64	21.5339805825243	1.44721188321316	21.5587184466019	19.5462172878306
1_L91287	3	2023-08-20 04:50:50	2023-08-20 20:34:28	39.2511917	39.4979533	-9.841475	-9.504955	15.7272222222222	1469.35	29.64	21.436170212766	1.95408868641421	17.5545957446809	17.2982627478277
1_L91287	4	2023-08-21 04:16:37	2023-08-21 20:57:09	39.3295133	39.4642933	-9.8050767	-9.5023283	16.6755555555556	1588.03	25.88	21.4526315789474	1.47149092906185	11.3654315789474	15.4539397542756
1_L91287	5	2023-08-22 04:46:25	2023-08-22 21:21:03	39.1361517	39.5107683	-9.8807183	-9.46012	16.5772222222222	2111.32	40.95	22.75	2.37951421766879	14.7556086956522	17.4435603086297
1_L91287	6	2023-08-23 04:32:14	2023-08-23 21:17:47	39.139415	40.1192617	-10.09488	-8.938345	16.7591666666667	4756.86	91.13	23.86	3.13346227974518	25.48352	20.0456171105564
1_L91287	7	2023-08-24 04:52:30	2023-08-26 20:27:03	39.36096	42.0221483	-9.8213533	-8.7596133	63.5758333333333	56974	293.12	20.1595744680851	2.21415177553536	17.8944574468085	19.8575176031191
1_L91287	8	2023-08-27 04:30:02	2023-08-28 20:37:08	38.7110683	39.553285	-10.4438633	-9.2357717	40.1183333333333	14478.78	106.04	19.9025423728814	2.0861840095258	22.4358813559322	19.5967136676816
1_L91287	9	2023-08-28 21:32:23	2023-08-30 04:24:31	39.4054567	40.518985	-10.0766383	-8.86594	30.8688888888889	14580.15	134.2	18.2087912087912	1.85088590713967	21.8373186813187	19.5871846890136
1_L91287	10	2023-08-30 05:27:27	2023-08-30 20:22:01	39.2380817	39.456665	-10.0534233	-9.500715	14.9094444444444	1327.84	47.26	18.9438202247191	1.74746277474851	19.5812584269663	20.584953000547
1_L91287	11	2023-08-31 05:11:13	2023-09-01 22:49:23	39.305245	40.791925	-9.82024	-8.9350783	41.6361111111111	27076.98	153.46	20.2551440329218	2.79475680128743	20.3948641975309	17.9396028838501
1_L91287	12	2023-09-02 02:14:39	2023-09-02 20:25:06	39.36282	39.8694633	-10.08433	-9.3803467	18.1741666666667	3792.1	52.75	19.588785046729	1.12395251887255	21.2028037383178	16.8018657024677
10C_LV26287	1	2023-08-19 23:57:22	2023-08-21 21:40:08	38.9523633	39.5911433	-10.2257983	-9.4348	45.7127777777778	5779.19	74.1	20.4296296296296	2.39590958968491	17.7860592592593	17.9339912909739
