Name:CatLog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
08/20/2023, 23:10:00, 39.4144233, -9.5047317, 24, 5, 1.5, 1.7, 24, 0, 19, 33, 43
08/20/2023, 23:31:44, 39.4053783, -9.4999833, -20, 5, 1.5, 1.8, 22, 1.852, 10, 36, 43
08/20/2023, 23:41:55, 39.4036117, -9.50277, -20, 5, 1.5, 1.8, 22, 1.852, 9, 34, 41
08/20/2023, 23:52:08, 39.40179, -9.5051317, -6, 5, 1.6, 1.9, 22, 1.852, 11, 35, 40
08/21/2023, 00:02:30, 39.3996817, -9.50615, 8, 4, 1.7, 1.9, 22, 27.78, 20, 33, 42
08/21/2023, 00:12:56, 39.406215, -9.5039517, 14, 6, 1.3, 1.6, 23, 27.78, 23, 35, 42
08/21/2023, 00:23:07, 39.40593, -9.49773, -2, 5, 1.4, 1.7, 23, 0, 9, 36, 41
08/21/2023, 00:33:19, 39.4039867, -9.5004333, -2, 6, 1.3, 1.6, 22, 0, 10, 37, 40
08/21/2023, 00:43:31, 39.4021717, -9.5033567, -4, 6, 1.4, 1.6, 22, 0, 10, 38, 42
08/21/2023, 00:53:44, 39.4005033, -9.5058967, 2, 6, 1.4, 1.6, 22, 1.852, 10, 36, 41
08/21/2023, 01:04:27, 39.398995, -9.50873, 0, 7, 1.2, 1.5, 22, 0, 41, 36, 41
08/21/2023, 01:14:30, 39.39747, -9.5113933, 4, 7, 1.2, 1.4, 22, 1.852, 1, 39, 41
08/21/2023, 01:24:33, 39.396585, -9.5146633, 64, 5, 1.4, 1.7, 22, 7.408, 1, 38, 39
08/21/2023, 01:34:39, 39.3945933, -9.516805, 4, 7, 1.1, 1.3, 22, 0, 4, 35, 41
08/21/2023, 01:44:56, 39.3968483, -9.5227117, -56, 6, 1.2, 1.5, 22, 1.852, 14, 37, 40
08/21/2023, 01:55:01, 39.3920733, -9.523685, 12, 7, 1.0, 1.3, 22, 0, 3, 35, 41
08/21/2023, 02:05:05, 39.390555, -9.5270533, 28, 5, 1.3, 1.6, 22, 1.852, 2, 37, 41
08/21/2023, 02:15:09, 39.389515, -9.5297683, 36, 5, 1.3, 1.6, 22, 0, 2, 36, 40
08/21/2023, 02:25:12, 39.38819, -9.5332367, 24, 5, 1.3, 1.6, 22, 1.852, 1, 36, 42
08/21/2023, 02:35:20, 39.3873517, -9.5369883, -12, 4, 2.5, 2.6, 22, 1.852, 5, 35, 40
