Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
08/11/2023, 01:38:03,32.51432,-16.5098233,76,4,1.6,1.9,22,1.852,63,31,35
08/11/2023, 05:09:00,32.516845,-16.5631583,-2,8,1,1.3,20,1.852,54,36,42
08/11/2023, 05:09:13,32.5167483,-16.563205,4,8,1,1.3,22,1.852,11,36,41
08/11/2023, 05:19:26,32.5165933,-16.57045,2,8,1,1.3,21,0,10,34,39
08/11/2023, 05:29:37,32.52324,-16.5836583,0,8,1,1.3,20,27.78,9,36,41
08/11/2023, 05:39:49,32.5431383,-16.609635,0,8,1,1.3,20,25.928,10,37,40
08/11/2023, 05:50:02,32.5576433,-16.64043,0,8,0.9,1.3,20,64.82,10,36,38
08/11/2023, 06:00:16,32.5741083,-16.649735,4,8,0.9,1.3,20,22.224,12,35,39
08/11/2023, 06:10:34,32.57712,-16.63704,4,8,0.9,1.3,20,48.152,16,35,39
08/11/2023, 06:20:49,32.5801433,-16.6057517,4,8,1,1.3,21,31.484,13,36,40
08/11/2023, 06:31:02,32.588335,-16.6089767,4,8,1,1.3,21,22.224,10,36,40
08/11/2023, 06:41:13,32.6009817,-16.6120917,8,8,1,1.3,21,37.04,9,36,40
08/11/2023, 06:51:37,32.6134,-16.61877,6,4,4.2,4.3,20,22.224,22,36,40
08/11/2023, 07:01:50,32.62883,-16.6280433,16,6,1.4,1.7,21,37.04,11,36,40
08/11/2023, 07:12:08,32.6458483,-16.6413917,8,6,1.4,1.7,21,27.78,15,36,41
08/11/2023, 07:22:25,32.6624083,-16.649995,20,6,1.5,1.8,21,37.04,15,35,39
08/11/2023, 07:32:37,32.67445,-16.6475483,2,6,1.6,1.9,21,0,10,34,39
08/11/2023, 07:42:49,32.6859133,-16.6496433,16,5,2.3,4.1,21,27.78,10,33,39
08/11/2023, 07:52:54,32.7047533,-16.63433,22,6,2,2.1,22,38.892,2,33,41
08/11/2023, 08:02:59,32.7283467,-16.62773,14,6,1.7,2,22,40.744,3,32,41
08/11/2023, 08:13:05,32.743185,-16.6440217,14,5,1.9,2.1,23,7.408,4,34,36
08/11/2023, 08:23:13,32.7579383,-16.67131,10,5,2.8,4,24,27.78,5,34,40
08/11/2023, 08:33:21,32.7687883,-16.6795633,8,5,2,2.2,23,0,6,36,39
08/11/2023, 08:43:31,32.7680967,-16.6794633,-2,5,2.1,2.3,23,0,8,35,39
08/11/2023, 08:53:46,32.770665,-16.6749183,-2,5,2.2,2.4,22,24.076,12,35,39
08/11/2023, 09:04:01,32.778155,-16.6873467,0,5,2.3,2.8,23,29.632,13,34,37
08/11/2023, 09:14:26,32.78607,-16.7033517,-10,4,3.3,3.4,23,27.78,22,35,39
08/11/2023, 09:25:00,32.7906583,-16.7052783,18,8,1,1.3,23,0,32,34,40
08/11/2023, 09:35:03,32.78953,-16.7056133,18,7,1.1,1.4,23,3.704,1,37,40
08/11/2023, 09:45:07,32.7927883,-16.711765,14,7,1.1,1.4,24,0,2,35,39
08/11/2023, 09:55:11,32.791555,-16.7130783,20,7,1.1,1.4,24,0,1,34,39
