Name:CatLog,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
--------,,,,,,,,,,,,
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
06/13/2023, 02:27:02,32.5138217,-16.50925,22,4,2.3,2.5,21,0,44,32,33
06/13/2023, 02:27:14,32.51377,-16.5092483,18,4,2.3,2.5,22,0,10,30,33
06/13/2023, 06:49:33,32.5137467,-16.509245,12,4,1.8,2,21,1.852,45,27,32
06/13/2023, 15:14:49,32.5137267,-16.5094217,14,5,1.7,2,22,0,40,32,36
06/13/2023, 15:15:03,32.5136767,-16.5094267,26,5,1.7,2,24,0,11,31,36
06/13/2023, 15:25:39,32.5139017,-16.509295,64,4,1.6,1.9,23,0,34,25,33
06/13/2023, 15:36:28,32.5126683,-16.51047,412,4,2.2,2.5,23,0,47,25,32
06/13/2023, 15:46:45,32.5139733,-16.5092417,-66,4,2.1,2.3,23,0,15,24,29
06/13/2023, 15:57:01,32.5137983,-16.50915,34,4,2,2.2,22,0,14,30,39
06/13/2023, 16:07:14,32.5138333,-16.5091267,30,4,1.9,2.1,22,0,11,24,30
06/13/2023, 16:17:40,32.5138667,-16.509205,100,4,1.9,2.1,22,1.852,23,24,33
06/13/2023, 16:27:56,32.5139233,-16.5092267,36,4,1.9,2.2,22,0,14,27,33
06/13/2023, 16:38:07,32.51403,-16.509365,66,4,2.1,2.3,22,1.852,9,31,38
06/13/2023, 16:48:30,32.5139633,-16.5093333,50,4,2.5,2.6,22,1.852,21,29,32
06/13/2023, 16:58:57,32.51411,-16.5095767,410,4,2.5,2.7,22,0,24,23,31
06/13/2023, 17:09:17,32.5138383,-16.50979,256,4,2.7,2.9,22,1.852,18,27,31
06/14/2023, 23:36:07,32.5134633,-16.5086483,26,6,1.6,1.8,25,0,40,35,42
06/14/2023, 23:46:19,32.5134583,-16.5085983,4,5,1.7,2,24,0,10,32,38
06/14/2023, 23:56:25,32.5133367,-16.5085017,-4,5,1.7,1.9,22,0,4,31,39
06/15/2023, 00:06:38,32.51353,-16.5087083,0,5,1.6,1.9,22,5.556,10,28,38
06/15/2023, 00:16:54,32.51353,-16.50868,18,5,1.6,1.9,22,0,14,27,37
06/15/2023, 00:27:20,32.5134733,-16.5086567,24,4,2.8,2.9,22,0,24,31,37
