Name:CatLog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
05/31/2023, 19:52:31, 48.902795, 9.2035733, 242, 5, 1.4, 1.7, 24, 0, 22, 36, 40
05/31/2023, 19:53:15, 48.902795, 9.2036183, 238, 4, 2.3, 2.5, 23, 0, 12, 40, 43
05/31/2023, 19:54:03, 48.9027733, 9.2036033, 242, 4, 2.3, 2.5, 22, 0, 16, 39, 42
05/31/2023, 19:54:53, 48.9027883, 9.2036767, 238, 5, 1.4, 1.7, 22, 0, 18, 34, 40
05/31/2023, 19:55:46, 48.902765, 9.20358, 256, 4, 2.2, 2.4, 21, 0, 21, 36, 38
05/31/2023, 19:56:35, 48.9026133, 9.2032083, 276, 4, 2.2, 2.4, 21, 0, 17, 37, 43
05/31/2023, 19:57:23, 48.902835, 9.20389, 196, 4, 2.2, 2.4, 20, 0, 16, 37, 44
08/13/2023, 21:25:25, 32.5138917, -16.510175, 26, 4, 2.0, 2.2, 25, 0, 55, 32, 40
08/13/2023, 21:35:52, 32.51389, -16.5101883, -18, 4, 2.0, 2.2, 23, 0, 25, 30, 39
08/13/2023, 21:46:09, 32.5138867, -16.510155, 34, 4, 1.9, 2.2, 23, 0, 15, 32, 39
08/13/2023, 21:56:19, 32.5138867, -16.5101783, 16, 4, 1.9, 2.1, 23, 0, 8, 34, 39
08/13/2023, 22:06:31, 32.513835, -16.5101917, 30, 4, 1.8, 2.1, 23, 0, 10, 33, 38
08/13/2023, 22:17:01, 32.5139267, -16.5101083, 18, 4, 1.8, 2.0, 23, 0, 27, 34, 38
08/13/2023, 22:27:14, 32.51393, -16.510165, 26, 4, 1.7, 1.9, 23, 0, 11, 30, 37
08/13/2023, 22:37:31, 32.5138933, -16.5101433, 28, 5, 1.3, 1.6, 22, 0, 15, 30, 36
08/13/2023, 22:48:37, 32.51394, -16.510185, 24, 5, 1.5, 1.8, 22, 0, 63, 28, 37
08/13/2023, 22:59:02, 32.5140933, -16.5102267, -10, 5, 1.5, 1.7, 22, 0, 22, 29, 36
08/13/2023, 23:09:23, 32.5140533, -16.51018, -16, 5, 1.9, 2.2, 22, 3.704, 19, 29, 38
08/13/2023, 23:19:51, 32.5139833, -16.51009, -4, 4, 2.5, 2.6, 22, 1.852, 26, 31, 39
08/13/2023, 23:30:08, 32.5139133, -16.510065, 2, 5, 1.3, 1.6, 22, 0, 15, 31, 43
08/13/2023, 23:40:49, 32.5139233, -16.5100683, 4, 4, 2.6, 2.7, 22, 0, 38, 36, 42
08/13/2023, 23:51:02, 32.51395, -16.5100917, 6, 4, 2.7, 2.9, 22, 0, 11, 35, 42
08/14/2023, 00:01:14, 32.5140467, -16.5101617, -16, 4, 2.8, 3.0, 22, 0, 10, 36, 43
08/14/2023, 00:11:48, 32.5138867, -16.510115, 10, 4, 1.8, 2.0, 22, 0, 32, 35, 42
