Name:CatLog,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
--------,,,,,,,,,,,,
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
08/09/2023, 23:21:28,32.512755,-16.5097017,110,3,4.2,4.3,30,0,54,28,35
08/10/2023, 03:03:55,32.5134517,-16.5089517,110,3,2.9,3,30,0,63,25,28
08/10/2023, 06:12:00,32.61477,-16.9904283,16,6,1,1.4,25,1.852,27,37,42
08/10/2023, 06:22:15,32.6145417,-16.989555,6,4,2.6,2.7,25,0,13,36,39
08/10/2023, 06:32:32,32.6224633,-17.0644283,4,5,1.2,1.5,25,42.596,15,37,40
08/10/2023, 06:42:51,32.6354483,-17.1401617,14,4,1.5,1.8,25,37.04,17,37,41
08/10/2023, 06:53:09,32.6599233,-17.2046983,34,5,1.3,1.6,26,38.892,16,37,39
08/10/2023, 07:03:32,32.69574,-17.2617683,32,5,1.3,1.6,27,40.744,21,38,41
08/10/2023, 07:13:53,32.7312467,-17.3183383,80,5,1.3,1.6,27,38.892,19,37,40
08/10/2023, 07:24:08,32.7704183,-17.3699633,58,5,1.4,1.7,27,38.892,13,38,40
08/10/2023, 07:34:35,32.8071483,-17.4313,36,6,1.3,1.6,27,46.3,25,37,42
08/10/2023, 07:44:59,32.8490433,-17.494455,24,6,1.3,1.6,27,55.56,22,36,40
08/10/2023, 07:55:25,32.8904067,-17.560585,28,4,1.8,2,27,38.892,24,35,39
08/10/2023, 08:05:41,32.9285133,-17.6250483,18,6,1.4,1.7,27,55.56,14,36,38
08/10/2023, 08:16:05,32.969865,-17.6912517,-16,5,1.6,1.8,28,40.744,22,36,40
08/10/2023, 08:26:30,33.0117917,-17.7562017,0,4,2.2,2.4,28,44.448,23,36,40
08/10/2023, 08:36:51,33.0533717,-17.823465,0,5,1.8,2,28,55.56,19,36,39
08/10/2023, 08:47:08,33.0982233,-17.8854033,14,5,1.4,1.6,28,44.448,15,35,38
08/10/2023, 08:57:29,33.1128833,-17.9063733,10,6,1.4,1.6,25,37.04,19,36,39
08/10/2023, 09:08:21,33.1531167,-17.9718767,16,4,3.1,3.2,26,48.152,50,34,38
08/10/2023, 09:18:47,33.2005167,-18.0336917,2,5,1.5,1.8,27,48.152,24,36,41
08/10/2023, 09:29:10,33.2443817,-18.0833117,12,5,1.5,1.8,27,44.448,21,35,39
08/10/2023, 09:39:35,33.2947467,-18.1424417,4,4,1.8,2,27,44.448,23,37,41
08/10/2023, 09:50:01,33.3398983,-18.20055,-16,4,1.8,2.1,28,55.56,24,35,39
08/10/2023, 10:00:32,33.385995,-18.25968,106,4,1.9,2.1,28,46.3,29,36,40
08/10/2023, 10:11:05,33.4320683,-18.3198283,22,3,2.3,2.5,29,44.448,30,35,39
08/10/2023, 10:21:25,33.46007,-18.3568733,4,4,2,2.2,27,46.3,18,35,39
08/10/2023, 10:31:51,33.49804,-18.39642,4,4,3.2,4.7,27,1.852,24,35,40
08/10/2023, 10:42:49,33.4995783,-18.4152083,2,5,2.1,2.9,27,44.448,56,36,39
08/10/2023, 10:52:52,33.53767,-18.4779283,4,6,1.5,1.7,28,48.152,1,36,39
08/10/2023, 11:02:56,33.5824283,-18.5217583,2,6,1.5,1.7,28,48.152,2,34,39
08/10/2023, 11:13:00,33.6315367,-18.571225,2,5,1.7,2,28,37.04,1,36,39
08/10/2023, 11:23:03,33.682035,-18.61377,-10,5,1.7,2,29,35.188,1,34,40
08/10/2023, 11:33:06,33.7325033,-18.6533867,-28,5,1.8,2,29,35.188,1,35,38
08/10/2023, 11:43:10,33.7815483,-18.692515,4,5,1.8,2,29,37.04,2,37,40
08/10/2023, 11:53:15,33.8296633,-18.73923,-6,5,1.8,2.1,29,44.448,2,35,39
08/10/2023, 12:03:22,33.8732383,-18.7838467,-14,4,2,2.2,28,14.816,5,37,39
08/10/2023, 12:13:28,33.92385,-18.830715,-14,4,2,2.2,29,7.408,4,37,39
08/10/2023, 12:23:33,33.9738333,-18.8668767,-32,4,2.1,2.3,28,14.816,3,34,40
08/10/2023, 12:33:50,34.0195483,-18.9108983,90,4,2.2,2.4,29,38.892,14,36,41
08/10/2023, 12:44:04,34.061705,-18.95556,12,4,2.3,2.5,28,40.744,12,36,40
08/10/2023, 12:54:23,34.104785,-18.9979583,8,4,2.4,2.6,29,44.448,17,35,40
08/10/2023, 13:04:42,34.1377317,-19.0454067,6,4,2.5,2.7,28,38.892,17,31,40
08/10/2023, 13:15:22,34.1851783,-19.08362,4,4,5.4,5.5,29,38.892,37,33,40
08/10/2023, 13:25:49,34.23214,-19.1301817,2,4,10.6,10.6,29,27.78,25,35,39
08/10/2023, 13:36:22,34.2778017,-19.18009,-4,4,12,12,29,20.372,31,36,40
08/10/2023, 13:46:37,34.2946617,-19.1993917,-22,4,6.6,6.7,30,0,13,35,42
08/10/2023, 13:56:46,34.2937817,-19.1979933,32,4,4.5,4.6,28,0,7,36,40
08/10/2023, 14:07:07,34.3248817,-19.2385567,-4,4,3.4,3.6,27,44.448,18,37,41
08/10/2023, 14:17:30,34.3708583,-19.29419,-4,4,2.9,3.1,28,35.188,21,37,40
08/10/2023, 14:27:58,34.41601,-19.348725,-10,4,2.6,2.7,29,33.336,26,36,40
08/10/2023, 14:38:31,34.4678683,-19.401875,6,5,1.7,1.9,29,46.3,31,36,39
08/10/2023, 14:48:43,34.51218,-19.4490667,18,5,1.7,1.9,29,40.744,10,36,40
08/10/2023, 14:59:19,34.5502833,-19.4846783,26,6,1.8,2.5,29,42.596,34,37,41
08/10/2023, 15:09:23,34.5947133,-19.5295883,6,7,1.5,1.7,29,35.188,2,38,41
08/10/2023, 15:19:26,34.6398717,-19.5719883,-2,6,2.1,2.2,30,44.448,1,35,40
08/10/2023, 15:29:30,34.6859817,-19.6138683,-18,5,1.6,1.9,28,33.336,1,34,39
08/10/2023, 15:39:35,34.735385,-19.6435467,8,6,1.8,2,28,40.744,3,37,40
08/10/2023, 15:49:42,34.7838267,-19.6806467,6,5,1.8,2.7,29,38.892,5,37,40
08/10/2023, 15:59:48,34.83264,-19.7169433,0,5,1.2,1.4,29,40.744,4,37,41
08/10/2023, 16:09:58,34.8821033,-19.7510817,-12,4,1.3,1.6,29,38.892,7,36,40
08/10/2023, 16:20:13,34.9354733,-19.7838883,140,4,1.3,1.6,30,37.04,13,38,41
08/10/2023, 16:30:20,34.98484,-19.8200133,14,5,1.2,1.5,29,40.744,5,34,41
08/10/2023, 16:40:25,35.0357467,-19.8566883,22,5,1.2,1.5,29,38.892,3,35,39
08/10/2023, 16:50:31,35.0861367,-19.8918583,20,5,1.1,1.5,29,40.744,3,37,41
08/10/2023, 17:00:36,35.1400317,-19.92003,30,5,1.1,1.4,29,37.04,3,37,41
08/10/2023, 17:10:41,35.1952367,-19.9442083,24,5,1.1,1.4,29,40.744,3,37,41
08/10/2023, 17:20:47,35.2441217,-19.9681517,20,5,1.1,1.4,28,38.892,4,38,40
08/10/2023, 17:30:55,35.2982933,-19.9949033,18,5,1.1,1.4,28,38.892,5,36,39
08/10/2023, 17:41:02,35.3484233,-20.0276767,16,4,1.2,1.5,28,40.744,5,35,39
08/10/2023, 17:51:15,35.3979767,-20.0558067,18,6,1,1.2,28,40.744,11,34,39
08/10/2023, 18:02:00,35.449635,-20.0881017,6,7,0.8,1.8,28,38.892,43,35,38
08/10/2023, 18:12:07,35.5037867,-20.11912,4,6,1,1.3,27,38.892,5,35,39
08/10/2023, 18:22:13,35.5540933,-20.147865,0,7,0.8,1.2,27,42.596,3,36,40
08/10/2023, 18:32:27,35.610485,-20.1764233,14,7,0.9,1.2,27,46.3,12,36,39
08/10/2023, 18:42:35,35.66886,-20.2048017,58,6,1,1.4,28,48.152,6,36,40
08/10/2023, 18:52:52,35.7100167,-20.225565,74,6,1,1.4,26,53.708,15,35,39
08/10/2023, 19:03:23,35.7715017,-20.2593333,68,6,1,1.4,27,46.3,29,35,39
08/10/2023, 19:13:37,35.828915,-20.29055,68,5,1.6,1.8,27,50.004,13,34,40
08/10/2023, 19:23:45,35.8735083,-20.3168567,18,5,1.8,2,26,46.3,5,35,39
08/10/2023, 19:33:56,35.9315883,-20.3496567,66,5,2.2,2.4,27,44.448,9,36,39
08/10/2023, 19:44:07,35.98886,-20.3892817,80,5,2.7,2.8,27,42.596,9,35,41
08/10/2023, 19:54:19,36.0473067,-20.4291633,72,5,3.4,3.5,27,50.004,10,37,40
08/10/2023, 20:04:32,36.10527,-20.4723517,22,5,3.8,3.9,27,50.004,11,38,41
08/10/2023, 20:14:45,36.1645833,-20.5116567,26,5,3.5,3.6,27,42.596,10,34,40
08/10/2023, 20:24:57,36.2226367,-20.5531117,28,7,1.3,1.5,27,55.56,11,36,39
08/10/2023, 20:35:14,36.2830317,-20.593625,22,8,1.1,1.3,27,53.708,15,36,40
08/10/2023, 20:45:32,36.3461417,-20.6234883,22,9,0.8,1.1,26,50.004,16,34,39
08/10/2023, 20:55:57,36.4083433,-20.660435,2,9,0.8,1.1,26,46.3,23,36,40
08/10/2023, 21:06:19,36.4741717,-20.6881583,8,9,0.8,1.1,27,51.856,20,36,39
08/10/2023, 21:16:33,36.53919,-20.7123233,12,8,0.9,1.2,27,50.004,12,37,39
08/10/2023, 21:26:57,36.6088483,-20.7357367,18,8,0.9,1.2,27,48.152,22,36,40
08/10/2023, 21:37:19,36.674445,-20.7598283,120,7,1,1.3,26,44.448,20,36,40
08/10/2023, 21:47:44,36.7415683,-20.7868033,26,6,1.1,1.4,27,50.004,23,37,40
08/10/2023, 21:58:07,36.8093317,-20.8115383,12,8,0.8,1.2,27,53.708,21,37,39
08/10/2023, 22:08:31,36.88247,-20.8261083,14,8,0.8,1.2,27,53.708,22,35,40
08/10/2023, 22:18:49,36.9533033,-20.8473117,18,5,1.3,1.6,27,44.448,15,36,39
08/10/2023, 22:29:08,37.0231233,-20.8686033,-18,5,1.6,1.9,27,51.856,17,37,39
08/10/2023, 22:39:32,37.0939533,-20.8839217,22,5,1.8,2,27,55.56,22,38,41
08/10/2023, 22:49:55,37.1610583,-20.9019417,-18,4,1.2,1.6,26,51.856,21,35,38
08/10/2023, 23:00:16,37.2322583,-20.923235,46,8,0.8,1.1,26,44.448,19,35,38
08/10/2023, 23:10:44,37.3041617,-20.9388567,32,6,1,1.3,26,51.856,26,37,43
08/10/2023, 23:21:14,37.3781083,-20.9482633,22,4,1.4,1.6,26,57.412,28,35,39
08/10/2023, 23:31:38,37.4491167,-20.96321,34,4,1.2,1.4,26,46.3,22,36,38
08/10/2023, 23:42:10,37.519925,-20.9788467,24,7,1.1,1.4,26,51.856,30,36,40
08/10/2023, 23:52:41,37.59438,-20.9916633,-14,5,1.3,1.6,26,50.004,29,37,39
08/11/2023, 00:03:10,37.6615633,-21.002685,-6,5,1.4,1.6,26,57.412,27,35,39
08/11/2023, 00:13:42,37.7307617,-21.0178117,14,6,1.4,1.6,26,57.412,30,36,40
08/11/2023, 00:24:18,37.798455,-21.0356683,32,7,1.2,1.4,26,46.3,34,35,40
08/11/2023, 00:34:50,37.8692483,-21.0502017,-32,4,2,2.2,26,38.892,30,35,38
08/11/2023, 00:45:13,37.9427617,-21.0601117,0,4,1.9,2,26,48.152,21,35,40
08/11/2023, 00:55:33,38.0159167,-21.0711233,18,7,1.1,1.4,26,50.004,18,36,40
08/11/2023, 01:05:55,38.0833017,-21.08227,48,4,1.5,1.8,26,61.116,20,34,40
08/11/2023, 01:16:26,38.155145,-21.0980067,-12,4,1.7,1.9,26,51.856,29,34,41
08/11/2023, 01:26:56,38.2233817,-21.1161383,-8,5,1.8,2,26,59.264,28,35,40
08/11/2023, 01:37:20,38.2779167,-21.12979,64,5,1.7,1.9,26,0,22,36,39
08/11/2023, 01:47:44,38.3299283,-21.13346,14,5,1.1,1.4,26,48.152,22,36,41
08/11/2023, 01:58:02,38.3991567,-21.1365,14,6,1,1.3,26,38.892,16,35,39
08/11/2023, 02:08:26,38.4508883,-21.1453017,-12,4,1.7,1.9,26,44.448,22,35,40
08/11/2023, 02:18:44,38.51763,-21.155405,140,4,1.4,1.7,26,48.152,16,35,41
08/11/2023, 02:29:08,38.5865517,-21.1673267,10,7,1,1.3,26,42.596,22,37,39
08/11/2023, 02:39:32,38.6571583,-21.17692,-28,6,1.2,1.4,26,29.632,22,35,38
08/11/2023, 02:49:51,38.7250033,-21.18564,-4,8,0.9,1.3,26,59.264,17,36,38
08/11/2023, 03:00:19,38.7971833,-21.1934633,40,5,1.4,1.6,26,57.412,26,35,38
08/11/2023, 03:10:44,38.8677717,-21.1937733,-22,5,1.4,1.6,26,48.152,23,37,40
