Name:CatLog,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
--------,,,,,,,,,,,,
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
04/26/2023, 13:27:10,36.9644517,-7.8853167,48,4,3.3,3.5,30,1.852,40,33,39
04/26/2023, 13:33:07,36.9643717,-7.8853217,36,4,3.3,3.4,30,0,55,29,32
04/26/2023, 13:38:41,36.964405,-7.885325,46,4,3.2,3.4,30,1.852,32,30,34
04/26/2023, 13:44:16,36.9643883,-7.8853133,40,4,3.2,3.3,30,3.704,33,29,33
04/26/2023, 13:49:55,36.9612833,-7.8829883,14,5,2.3,2.5,31,0,37,34,39
04/26/2023, 13:55:14,36.9610133,-7.8829733,54,6,2,2.2,30,0,17,34,37
04/26/2023, 14:00:35,36.9612383,-7.8822,28,5,2,2.2,30,0,18,34,38
04/26/2023, 14:05:59,36.961315,-7.88165,4,6,1.7,2,30,0,22,34,39
04/26/2023, 14:11:15,36.9615933,-7.88114,16,6,1.6,1.9,30,0,14,35,37
04/26/2023, 14:16:34,36.96177,-7.8802667,12,6,1.5,1.8,29,0,17,36,40
04/26/2023, 14:21:50,36.96165,-7.8802183,96,5,1.9,2.2,28,0,14,34,38
04/26/2023, 14:27:08,36.9619533,-7.88008,98,4,2.1,2.3,28,0,16,34,40
04/26/2023, 14:32:27,36.9622917,-7.8792183,36,6,1.3,1.6,28,0,17,34,38
04/26/2023, 14:37:45,36.9626317,-7.8784733,22,6,1.3,1.6,27,0,16,36,39
04/26/2023, 14:43:08,36.96682,-7.8852317,44,5,1.8,2,28,0,21,35,39
04/26/2023, 14:48:26,36.9667783,-7.8851017,34,5,1.8,2,28,0,16,37,42
04/26/2023, 14:53:43,36.9667417,-7.88513,28,6,1.2,1.5,29,0,15,35,39
04/26/2023, 14:58:59,36.9666633,-7.88507,40,6,1.2,1.5,29,0,14,37,42
04/26/2023, 15:04:14,36.9665633,-7.8833317,10,4,2,2.3,29,0,13,36,41
04/26/2023, 15:09:32,36.9664783,-7.883305,16,4,1.4,1.7,29,0,16,37,43
04/26/2023, 15:14:49,36.9646333,-7.8836883,14,4,2.2,2.4,29,0,15,36,40
04/26/2023, 15:20:05,36.9646,-7.8835733,36,6,1.1,1.4,30,0,14,33,40
04/26/2023, 15:25:20,36.9646317,-7.8836667,20,4,2.3,2.5,30,0,13,37,42
04/26/2023, 15:31:03,36.9646433,-7.88368,18,6,1.2,1.5,30,0,41,36,40
04/26/2023, 15:36:12,36.9646617,-7.8836733,22,5,2.2,2.4,30,0,7,36,40
04/26/2023, 15:41:15,36.9646583,-7.8836583,6,6,1.1,1.4,30,1.852,1,34,38
04/26/2023, 15:46:18,36.9646517,-7.883645,30,5,1.5,1.7,30,0,1,37,41
04/26/2023, 15:51:22,36.9646217,-7.8835583,36,5,1.5,1.7,30,0,1,36,40
04/26/2023, 15:56:29,36.96466,-7.884055,98,4,2.1,2.3,30,0,5,36,41
04/26/2023, 16:01:32,36.9647033,-7.8837567,32,5,1.5,1.8,30,1.852,1,35,40
04/26/2023, 16:06:43,36.967335,-7.88355,22,5,1.6,1.8,30,0,9,35,41
04/26/2023, 16:11:48,36.9671833,-7.8837283,46,4,2,2.2,30,0,2,37,41
04/26/2023, 16:16:51,36.965055,-7.8832033,54,5,1.6,1.8,30,0,1,37,41
04/26/2023, 16:22:07,36.9623167,-7.88468,588,5,1.7,1.9,29,0,14,34,41
04/26/2023, 16:27:19,36.9618017,-7.882385,168,5,1.7,1.9,26,0,10,34,37
04/26/2023, 16:32:23,36.9624067,-7.88191,52,5,1.8,2,23,0,2,36,41
04/26/2023, 16:37:27,36.9624367,-7.8822433,80,5,1.9,2,22,3.704,1,34,40
04/26/2023, 16:42:45,36.9623083,-7.8819983,26,4,2.4,2.6,23,1.852,16,36,41
04/26/2023, 16:48:05,36.9622983,-7.8821333,18,4,2.6,2.7,24,0,18,36,42
04/26/2023, 16:53:30,36.9623033,-7.8820217,30,4,2.7,2.9,25,0,23,37,42
04/26/2023, 16:59:04,36.96162,-7.8817467,28,4,2.9,3.1,26,0,32,33,37
04/26/2023, 17:04:30,36.9617417,-7.8814917,20,6,1,1.3,27,0,24,33,40
04/26/2023, 17:09:37,36.9624667,-7.8816017,20,5,1.4,1.7,27,0,5,35,38
04/26/2023, 17:14:41,36.962425,-7.8817217,26,5,1.5,1.7,27,0,2,35,38
04/26/2023, 17:19:48,36.9624033,-7.8821717,22,5,1.5,1.7,27,0,4,34,38
04/26/2023, 17:24:52,36.962345,-7.8819517,32,5,1.5,1.7,27,3.704,2,32,37
04/26/2023, 17:29:56,36.962375,-7.882215,36,5,1.5,1.7,27,0,2,34,38
04/26/2023, 17:35:39,36.962375,-7.8820517,26,8,0.9,1.2,27,0,40,37,41
04/26/2023, 17:40:43,36.9623833,-7.882215,24,5,2.7,2.8,27,1.852,2,36,40
04/26/2023, 17:45:46,36.9623433,-7.8823333,10,7,1.4,1.6,27,18.52,1,35,42
04/26/2023, 17:50:49,36.96231,-7.881965,28,7,1.4,1.6,27,7.408,1,38,42
04/26/2023, 17:55:53,36.96227,-7.8821983,10,7,1,1.3,27,0,2,36,39
04/26/2023, 18:00:57,36.9622783,-7.8822317,12,6,1.6,1.8,27,1.852,1,38,40
04/26/2023, 18:06:01,36.9622067,-7.8821233,8,6,1.2,1.4,27,0,2,38,42
04/26/2023, 18:11:04,36.9622967,-7.88207,12,6,1.6,1.8,26,3.704,1,36,40
04/26/2023, 18:16:07,36.9646433,-7.8834867,18,6,1.6,1.8,26,1.852,1,38,43
04/26/2023, 18:21:11,36.9647483,-7.8836333,2,7,1,1.3,26,1.852,1,37,41
04/26/2023, 18:26:14,36.9647667,-7.8836383,-2,7,1,1.2,26,1.852,1,37,41
04/26/2023, 18:31:17,36.9649183,-7.8836633,-40,7,1,1.2,26,3.704,1,34,41
04/26/2023, 18:36:20,36.964875,-7.8836,-40,6,1.2,1.6,25,1.852,1,36,41
04/26/2023, 18:41:24,36.9648367,-7.8836383,-30,6,1.3,1.6,25,1.852,1,34,40
04/26/2023, 18:46:27,36.9647433,-7.88365,-8,5,1.5,1.8,25,0,1,37,40
04/26/2023, 18:51:30,36.9650317,-7.8836583,-48,5,1.5,1.8,25,3.704,1,37,40
04/26/2023, 18:56:34,36.96488,-7.8836117,-34,5,1.5,1.8,25,1.852,1,35,39
04/26/2023, 19:01:37,36.9660933,-7.8834083,-252,5,1.6,1.8,25,0,1,37,39
04/26/2023, 19:06:40,36.9651233,-7.8835983,-70,5,1.6,1.8,25,0,1,37,40
04/26/2023, 19:11:43,36.9649717,-7.8835967,-40,5,1.6,1.8,25,5.556,1,36,39
04/26/2023, 19:16:47,36.9649517,-7.8834933,-36,5,1.6,1.8,25,5.556,2,35,38
04/26/2023, 19:21:52,36.964995,-7.88359,-70,5,1.6,1.8,25,12.964,2,34,39
04/26/2023, 19:26:57,36.9648433,-7.883565,-22,5,1.6,1.8,24,0,3,34,40
04/26/2023, 19:32:03,36.9648733,-7.8835033,-26,5,1.6,1.8,24,1.852,4,34,39
04/26/2023, 19:37:46,36.9646183,-7.88365,16,5,2,2.2,24,0,40,35,40
04/26/2023, 19:42:49,36.9646167,-7.883665,14,5,2,2.2,24,0,1,39,41
04/26/2023, 19:47:52,36.9647483,-7.8834633,10,5,2.1,2.3,24,5.556,1,38,41
04/26/2023, 19:52:55,36.96511,-7.8824533,-24,5,2.1,2.3,24,7.408,1,36,40
04/26/2023, 19:58:00,36.964935,-7.8826433,-18,5,2.1,2.3,24,0,2,38,40
04/26/2023, 20:03:14,36.9645733,-7.8838433,22,5,2.1,3,24,0,12,37,40
04/26/2023, 20:08:17,36.9646783,-7.8835133,14,5,2.1,2.2,23,14.816,1,34,39
04/26/2023, 20:13:31,36.9646167,-7.8840267,26,5,2,2.2,23,0,12,37,41
04/26/2023, 20:18:34,36.9647317,-7.8836533,14,5,2,2.2,23,25.928,1,35,38
04/26/2023, 20:23:39,36.9646883,-7.8834883,14,5,2,2.2,23,1.852,2,36,40
04/26/2023, 20:28:49,36.964665,-7.8836083,14,6,1.4,1.7,23,0,8,34,40
04/26/2023, 20:33:54,36.96465,-7.8839317,22,5,1.4,1.7,23,0,3,36,41
04/26/2023, 20:38:59,36.964685,-7.8837617,26,5,1.4,1.7,23,0,3,36,40
04/26/2023, 20:44:04,36.9646883,-7.88367,22,5,1.4,1.7,23,0,2,36,40
04/26/2023, 20:49:08,36.964655,-7.8837133,22,5,1.4,1.7,22,0,2,37,40
04/26/2023, 20:54:12,36.9647217,-7.8836283,8,5,1.5,1.7,22,0,2,37,41
04/26/2023, 20:59:25,36.96497,-7.88289,64,4,1.5,1.8,22,0,11,37,42
04/26/2023, 21:04:30,36.9646617,-7.883565,20,5,1.5,1.8,22,0,2,37,42
04/26/2023, 21:09:34,36.9647183,-7.8835817,10,5,1.5,1.8,22,1.852,2,37,42
04/26/2023, 21:14:40,36.96473,-7.88361,2,5,1.5,1.8,22,1.852,4,35,43
